street,lon,lat
"Slovinská, Bratislava",17.1606869,48.1694835
"Na úvrati, Bratislava",NA,NA
"Hornádska, Bratislava",17.2142475,48.136103
"Murgašova, Bratislava",17.109696,48.1565358
"Hroznová, Bratislava",17.0968375,48.1636327
"Staromestská, Bratislava",17.1039111,48.1439302
"Mateja Bela, Bratislava",17.104846,48.1495854
"Karlova Ves (Bratislava IV), Bratislava",17.0518442,48.1591643
"Staré Mesto (Bratislava I), Bratislava",17.1077474,48.148598
"Šándorova, Bratislava",17.1747257,48.1553815
"Námestie Hraničiarov, Bratislava",17.1166657,48.1217966
"Komárnická, Bratislava",NA,NA
"Miletičova, Bratislava",17.1365022,48.1529147
"Mlynarovičová, Bratislava",17.121358,48.12665819999999
"Bystrická, Bratislava",NA,NA
"Pri strelnici, Bratislava",NA,NA
"Dopravná, Bratislava",17.1662745,48.199887
"Trenčianska, Bratislava",17.1397444,48.1517452
"Petržalka (Bratislava V), Bratislava",17.1115426,48.11087000000001
"Vtáčnik, Bratislava",17.1163072,48.1680102
"Lamač (Bratislava IV), Bratislava",17.0474565,48.1938879
"Bartoškova, Bratislava",17.1321583,48.1611404
"Dlhá, Bratislava",17.1967037,48.0329609
"Pečnianska, Bratislava",17.0944704,48.12928180000001
"Hronská, Bratislava",17.2105548,48.1341737
"Šípová, Bratislava",17.2057875,48.1503464
"Židovská, Bratislava",17.1038268,48.1433715
"Hradská, Bratislava",NA,NA
"Nákovná, Bratislava",NA,NA
"Pribišova, Bratislava",17.0482552,48.1532037
"Pri Hrubej lúke, Bratislava",17.0349999,48.19834160000001
"Ulica . augusta 2/A, Bratislava",17.1158024,48.14958009999999
"Rovniankova, Bratislava",NA,NA
"Sputniková, Bratislava",NA,NA
"Hrobákova, Bratislava",NA,NA
"Pri Vápenickom potoku, Bratislava",17.0414574,48.2315999
"Strmý vŕšok, Bratislava",NA,NA
"Ota Holúska, Bratislava",17.0422807,48.2332221
"Fedinova, Bratislava",17.1028701,48.1174269
"Dunajská, Bratislava",NA,NA
"Markova, Bratislava",NA,NA
"Bagarova, Bratislava",NA,NA
"Dúbravka (Bratislava IV), Bratislava",17.0290285,48.1888276
"Rača (Bratislava III), Bratislava",NA,NA
"Podunajské Biskupice (Bratislava II), Bratislava",NA,NA
"Jarovce (Bratislava V), Bratislava",NA,NA
"Pri kríži, Bratislava",NA,NA
"Ivanská cesta, Bratislava",17.1852175,48.1704896
"Bratislavská, Bratislava",NA,NA
"Majerníkova, Bratislava",NA,NA
"Račianská, Bratislava",17.1291084,48.1806992
"Vrútocka, Bratislava",NA,NA
"Radlinského, Bratislava",NA,NA
"Záhrebská, Bratislava",17.1161646,48.1562231
"Šintavská, Bratislava",NA,NA
"Zuzany Chalupovej, Bratislava",17.1196132,48.0926903
"Tallerova, Bratislava",17.1139725,48.14204789999999
"Galvaniho, Bratislava",NA,NA
"Kozia, Bratislava",NA,NA
"Svätovavrinecká, Bratislava",17.1181878,48.1678019
"Veternicová, Bratislava",NA,NA
"Závodná, Bratislava",NA,NA
"Gregorovej, Bratislava",NA,NA
"Rusovská cesta, Bratislava",17.1028823,48.1240715
"Svetlá, Bratislava",17.0859376,48.1510419
"Legionárska, Bratislava",17.1226226,48.1565463
"Kominárska, Bratislava",17.123249,48.1597122
"Na Revíne, Bratislava",NA,NA
"Vihorlatská, Bratislava",17.1590859,48.1742208
"Jána Smreka, Bratislava",NA,NA
"Meteorová, Bratislava",17.1642888,48.16417970000001
"Kysucká, Bratislava",NA,NA
"Žižkova, Bratislava",17.090188,48.1423211
"Ambroseho, Bratislava",17.1148265,48.1160378
"Moskovská, Bratislava",17.1222717,48.150574
"vvv, Bratislava",17.1077478,48.1485965
"Sabinovská, Bratislava",17.1489037,48.1600513
"Nejedlého, Bratislava",17.0365656,48.1929101
"Stará Vajnorská, Bratislava",17.1748398,48.1877752
"Nová Bellova, Bratislava",17.1077478,48.1485965
"Zámocká, Bratislava",17.1018366,48.1447091
"Čsl. parašutistov, Bratislava",17.1306245,48.1710412
"Panónska cesta, Bratislava",17.0984998,48.111264
"Tichá, Bratislava",17.083378,48.15085209999999
"Martinengova, Bratislava",17.0787203,48.1591256
"Krajná, Bratislava",17.1734444,48.1786217
"Anenská, Bratislava",17.1156337,48.155066
"Ševčenkova, Bratislava",17.1034175,48.1195047
"Jašíkova, Bratislava",17.1669648,48.1555678
"Lazaretská, Bratislava",17.1199992,48.1455383
"Sibírska, Bratislava",17.1226043,48.1641704
"Ulica Martina Granca, Bratislava",17.0269669,48.1971466
"..., Bratislava",17.1077478,48.1485965
"Švantnerova, Bratislava",17.0367275,48.1812591
"Bazovského, Bratislava",17.0413202,48.1833435
"Budyšínska, Bratislava",17.1287131,48.1631108
"Dvořakovo nábrežie, Bratislava",17.0895271,48.1412027
"Albína Brunovského, Bratislava",17.0505376,48.1486689
"Podkolibská, Bratislava",17.1153831,48.1625951
"Belinského, Bratislava",17.1034571,48.1219765
"Plynárenská, Bratislava",17.1419905,48.1447841
"Slatinská, Bratislava",17.2143108,48.1405988
"Trnavská cesta, Bratislava",17.1465239,48.1636363
"Karola Adlera, Bratislava",17.0314381,48.1904755
"Ľanová, Bratislava",17.1589567,48.1563416
"Tranovského, Bratislava",17.0249999,48.1932318
"Šoltésovej, Bratislava",17.1232537,48.15105579999999
"Bosákova, Bratislava",17.1256837,48.12768029999999
"Pavla Horova, Bratislava",16.9799328,48.2033873
"Nobelova, Bratislava",17.1364561,48.1838284
"Bieloruská, Bratislava",17.1990108,48.1389882
"Vrakunská, Bratislava",17.1994128,48.1371356
"Suché mýto, Bratislava",NA,NA
"Kopčianska, Bratislava",17.0906023,48.11420469999999
"Malokrasňanská, Bratislava",NA,NA
"Furdekova, Bratislava",17.1208933,48.1228183
"Drobného, Bratislava",17.039605,48.19099550000001
"L. Dérera, Bratislava",17.1008826,48.1659737
"Hrdličkova, Bratislava",17.0838054,48.1687406
"Donnerova, Bratislava",17.0555119,48.1578595
"Bučinová, Bratislava",17.2075909,48.1432633
"Bartoňova, Bratislava",17.093864,48.14626380000001
"Brodská, Bratislava",17.0482969,48.1607393
"Rozvodná, Bratislava",NA,NA
"Martinčekova, Bratislava",17.1473938,48.14962269999999
"Milana Marečka, Bratislava",16.9786794,48.2067816
"Červeňákova, Bratislava",17.0422272,48.18458649999999
"Žitavská, Bratislava",NA,NA
"Holíčska, Bratislava",NA,NA
"x, Bratislava",NA,NA
"Bzovícka, Bratislava",NA,NA
"Stavbárska, Bratislava",NA,NA
"Jána Poničana, Bratislava",16.9824314,48.2064513
"Zochova, Bratislava",17.1012408,48.1462148
"Pribinova, Bratislava",NA,NA
"Na pasekách, Bratislava",17.175008,48.198431
"Vilová, Bratislava",17.0968209,48.1241968
"Ľubovníkova, Bratislava",NA,NA
"Landererova, Bratislava",17.1259838,48.1425112
"Bakošova, Bratislava",17.0471313,48.198897
"Smaragdová, Bratislava",NA,NA
"Bernolákova, Bratislava",17.1214436,48.1553903
"Strážna, Bratislava",NA,NA
"Silvánska, Bratislava",NA,NA
"Stromová, Bratislava",17.0963905,48.164729
"Černyševského, Bratislava",NA,NA
"Považanová, Bratislava",17.0369947,48.18389149999999
"Pekná cesta, Bratislava",17.1301157,48.199381
"Čmelíkova, Bratislava",17.176241,48.1574243
"Znievska, Bratislava",17.1047337,48.1025126
"PETRŽALKA CITY, Bratislava",NA,NA
"Karpatská, Bratislava",17.1136709,48.1579603
"Narcisová, Bratislava",17.1613448,48.1552188
"Opavská, Bratislava",17.0838628,48.1663921
"Ferienčíkova, Bratislava",17.1204006,48.1467671
"Beniakova, Bratislava",17.0469512,48.1575101
"Malokarpatské námestie, Bratislava",17.0531676,48.1948495
"Zimná, Bratislava",17.1638301,48.1634144
"Vážska, Bratislava",NA,NA
"Jégého, Bratislava",17.1348342,48.1572261
"Mraziarenská, Bratislava",17.1417599,48.1551802
"Čiližská, Bratislava",NA,NA
"Hany Meličkovej, Bratislava",17.0542867,48.1495876
"Banšelová, Bratislava",NA,NA
"Vyšehradská, Bratislava",17.103956,48.096764
"Bajkalska, Bratislava",17.1477112,48.1518695
"Jurigovo námestie, Bratislava",17.0600453,48.15157989999999
"Jaskový rad, Bratislava",NA,NA
"Štefunkova, Bratislava",17.1708915,48.1562743
"Sadmelijská, Bratislava",17.1469666,48.2076872
"Chemická, Bratislava",17.157276800000002,48.1751356
"Mickiewiczova, Bratislava",17.115766699999998,48.1500149
"Hubeného, Bratislava",17.1429715,48.1977433
"Hollého, Bratislava",17.113995,48.1471978
"Matejkova, Bratislava",17.0485807,48.1498026
"Kpt. Rašu, Bratislava",17.0398256,48.1886009
"Jesenná, Bratislava",17.1633866,48.1643358
"Hviezdna, Bratislava",17.2136904,48.1303021
"Baltská, Bratislava",17.2015475,48.1351804
"Žltá, Bratislava",17.124036,48.0870151
"Estónska, Bratislava",17.2018581,48.1432935
"Studenohorská, Bratislava",17.0510155,48.1937424
"Nový Ružinov, Bratislava",17.1556372,48.1387464
"Lipského, Bratislava",17.0512715,48.1797189
"Belehradská, Bratislava",17.1235499,48.15713840000001
"Zvolenská, Bratislava",17.1385837,48.14821320000001
"Galbavého, Bratislava",17.0379253,48.18302019999999
"Klenová, Bratislava",17.0896258,48.1721602
"Cyprichova, Bratislava",17.1431309,48.1966279
"Ďatelinová, Bratislava",17.1596146,48.1514464
"Laurinská, Bratislava",17.1107447,48.1435619
"Wolkrova, Bratislava",17.1085971,48.1254698
"Mlynské nivy, Bratislava",17.140801,48.1444816
"Dulovo námestie, Bratislava",NA,NA
"Jarabinková, Bratislava",NA,NA
"Ráztočná, Bratislava",17.215905,48.1494424
"Na Krčoch, Bratislava",17.0422682,48.2367277
"Azúrová, Bratislava",NA,NA
"Nad Lúčkami, Bratislava",17.0500098,48.1577768
"Karloveská, Bratislava",NA,NA
"Vígľašská, Bratislava",17.1078517,48.0970303
"Arménska, Bratislava",17.2028947,48.1448249
"Podzáhradná, Bratislava",17.2042472,48.1337533
"Haanova, Bratislava",NA,NA
"Toplianska, Bratislava",NA,NA
"Žatevná, Bratislava",17.0300721,48.1892648
"Námestie hraničiarov, Bratislava",NA,NA
"Pod Krásnou hôrkou, Bratislava",NA,NA
"Andrusovova, Bratislava",17.0993884,48.116503
"Páričkova, Bratislava",NA,NA
"Petržalka, Bratislava",NA,NA
"Cabanova, Bratislava",17.0262539,48.1931395
"Bebravská, Bratislava",17.2126738,48.1395706
"Široká, Bratislava",17.2088072,48.1981371
"Račianske mýto, Bratislava",17.1201714,48.1578188
"Lužná, Bratislava",NA,NA
"Pernecká, Bratislava",17.0523522,48.1611431
"Ďumbierska, Bratislava",17.0828043,48.1680856
"Metodova, Bratislava",17.1279024,48.1566997
"Štetinova, Bratislava",17.1037521,48.1483928
"Eisnerova, Bratislava",16.9804264,48.205841
"Syslia, Bratislava",17.1722933,48.1434092
"Hraničná, Bratislava",17.1586657,48.146137
"Rumančeková, Bratislava",17.1556672,48.15070470000001
"Kafendova, Bratislava",17.1509962,48.2099151
"Beňadická, Bratislava",17.1070221,48.099621
"Kazanska, Bratislava",NA,NA
"Stropkovská, Bratislava",NA,NA
"Ľuda Zúbka, Bratislava",17.0462539,48.17916959999999
"Mánesovo námestie, Bratislava",17.1117807,48.1286733
"Oravská, Bratislava",NA,NA
"Dostojevského rad, Bratislava",17.1203218,48.1423882
"Blumentálska, Bratislava",17.1216097,48.1541615
"Jána Stanislava, Bratislava",17.0521929,48.1542707
"Kresánkova, Bratislava",17.0501824,48.1502314
"Jozefská, Bratislava",17.110358,48.150741
"Klariská, Bratislava",17.1051748,48.14446539999999
"Mlynské Luhy, Bratislava",17.1788371,48.1532443
"Baštová, Bratislava",17.1059625,48.144838
"Líščie nivy, Bratislava",17.1407782,48.15710499999999
"Horská, Bratislava",17.1246211,48.1821302
"Kríková, Bratislava",17.2087687,48.1439359
"Nevädzová G, Bratislava",17.1593323,48.15244389999999
"Heyrovského, Bratislava",NA,NA
"Pod brehmi, Bratislava",17.0608563,48.1740125
"Hodálová, Bratislava",17.055353,48.1530948
"Námestie sv. Františka, Bratislava",17.0527471,48.159342
"Haydnova, Bratislava",17.0903436,48.1522803
"Leškova, Bratislava",17.1081063,48.15432939999999
"Alstrova, Bratislava",17.1465905,48.2110491
"Strakova, Bratislava",17.1067948,48.1417535
"Novosvetská, Bratislava",17.0976086,48.1527568
"Astrová, Bratislava",17.1587276,48.1558194
"Novackého, Bratislava",17.0564966,48.1531831
"Zochova a, Bratislava",17.1012408,48.1462148
"Ulica . augusta, Bratislava",17.121055900000002,48.1478796
"Hlbinná, Bratislava",NA,NA
"Bezručova, Bratislava",17.1174033,48.14280919999999
"Jozefa Hagaru, Bratislava",17.1418576,48.1999894
"Ružinovská, Bratislava",17.162041,48.1573869
"Geologická, Bratislava",17.1955554,48.1387687
"Bradáčova, Bratislava",17.1138096,48.1143544
"Bulíkova, Bratislava",17.1292042,48.1265381
"Cintorínska, Bratislava",17.1178268,48.1466854
"Námestie slobody, Bratislava",17.1114209,48.1524854
"Kvačalova, Bratislava",17.1314392,48.151932
"Jelšová, Bratislava",17.0932041,48.1648633
