street,lon,lat
"Majoránová, Bratislava",NA,NA
"Vetvárska, Bratislava",17.2110385,48.12492990000001
"Komonicova, Bratislava",NA,NA
"Podjavorínska, Bratislava",17.1012408,48.1462148
"Rusovce (Bratislava V), Bratislava",17.1450367,48.0560336
"Krásnohorská, Bratislava",17.1144932,48.0983736
"Cesta na Kamzík, Bratislava",NA,NA
"Dobrovskeho, Bratislava",NA,NA
"Radvanská, Bratislava",NA,NA
"Horský park, Bratislava",17.0906447,48.1578958
"Vrakuňská cesta, Bratislava",17.1777205,48.1611796
"Veternicova, Bratislava",NA,NA
"Koliba, Bratislava",NA,NA
