balcony,price,no_of_bedrooms,basement,street,size,elevator,district,floor,material,status
Yes,88000,1,Yes,Pavla Horova,38,Yes,devinska_nova_ves,other,panel,refurbished
Yes,88000,1,Yes,Pavla Horova,39,Yes,devinska_nova_ves,other,panel,refurbished
Yes,238000,3,Yes,Na Revíne,72,Yes,nove_mesto,other,brick,refurbished
No,109000,2,Yes,Meteorová,43,Yes,ruzinov,other,panel,refurbished
Yes,156000,2,No,Svätého Vincenta,70,Yes,ruzinov,bottom,brick,refurbished
No,171600,3,No,Nákovná,69,No,podunajske_biskupice,other,brick,refurbished
No,173000,3,No,Nákovná,70,No,podunajske_biskupice,rest,brick,refurbished
Yes,238500,4,Yes,Potočná,214,No,raca,other,brick,refurbished
No,95000,1,Yes,Vranovská,36,Yes,petrzalka,other,panel,partial_refurbishment
Yes,179900,2,No,Drieňová,73,Yes,ruzinov,other,other,refurbished
Yes,133000,3,Yes,Pavla Horova,68,Yes,devinska_nova_ves,other,panel,partial_refurbishment
Yes,174000,4,Yes,Kadnárova,89,No,raca,other,brick,refurbished
Yes,125000,2,Yes,Narcisova,55,Yes,ruzinov,rest,panel,refurbished
Yes,149000,3,Yes,Kadnárova,73,No,raca,other,brick,refurbished
No,125000,3,Yes,Exnárova,72,Yes,ruzinov,bottom,panel,refurbished
Yes,118000,1.5,No,Vígľašská,49,Yes,petrzalka,other,panel,refurbished
No,304600,4,No,Ďumbierska,123,No,nove_mesto,other,brick,refurbished
No,203000,2,Yes,Zochova,76,No,stare_mesto,rest,brick,refurbished
Yes,87500,1,No,Pavla Horova,38,Yes,devinska_nova_ves,other,panel,partial_refurbishment
Yes,90500,1,Yes,Pavla Horova,41,Yes,devinska_nova_ves,rest,panel,refurbished
Yes,235000,3,Yes,Kadnárova,97,No,raca,other,brick,refurbished
No,148900,2,Yes,Tabaková 10,64,No,stare_mesto,top,brick,partial_refurbishment
Yes,163000,2,No,Dobrovskeho 4,70,No,stare_mesto,other,brick,refurbished
No,106000,1,Yes,Jadrova 5,43,Yes,ruzinov,other,panel,refurbished
No,101800,2,Yes,Nobelova,39,Yes,nove_mesto,other,panel,refurbished
Yes,118000,2,No,Bujnákova,41,No,dubravka,other,other,partial_refurbishment
Yes,120000,2,No,Bujnákova,41,No,dubravka,other,panel,partial_refurbishment
No,85500,1,Yes,Ivana Bukovčana,40,Yes,devinska_nova_ves,other,brick,refurbished
No,390000,2,Yes,Pribinova,98,Yes,stare_mesto,bottom,other,refurbished
Yes,98540,1,No,Pri starej prachárni,36,Yes,nove_mesto,bottom,brick,refurbished
Yes,110010,1,No,Pri starej prachárni,36,Yes,nove_mesto,other,brick,refurbished
Yes,110010,1,No,Pri starej prachárni,36,Yes,nove_mesto,other,brick,refurbished
Yes,111940,1,No,Pri starej prachárni,36,Yes,nove_mesto,other,brick,refurbished
Yes,123605,2,No,Pri starej prachárni,40,Yes,nove_mesto,other,brick,refurbished
Yes,136760,2,No,Pri starej prachárni,50,Yes,nove_mesto,bottom,brick,refurbished
Yes,142020,2,No,Pri starej prachárni,50,Yes,nove_mesto,other,brick,refurbished
Yes,142020,2,No,Pri starej prachárni,50,Yes,nove_mesto,other,brick,refurbished
Yes,150080,2,No,Pri starej prachárni,51,Yes,nove_mesto,other,brick,refurbished
Yes,150080,2,No,Pri starej prachárni,51,Yes,nove_mesto,other,brick,refurbished
Yes,150080,2,No,Pri starej prachárni,51,Yes,stare_mesto,other,brick,refurbished
Yes,152760,2,No,Pri starej prachárni,51,Yes,nove_mesto,other,brick,refurbished
Yes,152760,2,No,Pri starej prachárni,51,Yes,nove_mesto,other,brick,refurbished
Yes,152760,2,No,Pri starej prachárni,51,Yes,nove_mesto,other,brick,refurbished
Yes,152760,2,No,Pri starej prachárni,51,Yes,stare_mesto,other,brick,refurbished
Yes,152760,2,No,Pri starej prachárni,51,Yes,nove_mesto,other,brick,refurbished
Yes,155440,2,No,Pri starej prachárni,51,Yes,nove_mesto,other,brick,refurbished
Yes,155440,2,No,Pri starej prachárni,51,Yes,nove_mesto,other,brick,refurbished
No,143000,3,No,Šalviová,72,Yes,ruzinov,rest,panel,refurbished
Yes,112000,1.5,No,Mánesovo námestie,58,Yes,petrzalka,other,panel,partial_refurbishment
No,330000,3,No,Štúrova,73,Yes,stare_mesto,other,brick,refurbished
No,96999,3,Yes,Lotyšska,50,Yes,podunajske_biskupice,other,panel,refurbished
No,96999,2,Yes,Lotyšská,50,Yes,podunajske_biskupice,other,panel,refurbished
Yes,123000,3,Yes,Smolenická,73,Yes,petrzalka,other,panel,partial_refurbishment
No,72999,1,Yes,Slatinská,36,Yes,vrakuna,other,panel,refurbished
Yes,119990,2,No,Martinčekova,53,Yes,ruzinov,top,panel,refurbished
Yes,143000,3,Yes,Šumavská,65,No,ruzinov,other,brick,refurbished
Yes,109000,2,No,Račianska,48,Yes,nove_mesto,other,panel,refurbished
Yes,109000,2,No,Račianska,48,Yes,nove_mesto,other,panel,refurbished
Yes,136000,3,Yes,Bakošova,76,Yes,lamac,other,panel,refurbished
Yes,117900,2,No,Martinčekova,53,Yes,ruzinov,top,panel,partial_refurbishment
Yes,147000,2,No,Bosákova,55,Yes,petrzalka,other,panel,refurbished
Yes,120000,4,No,Bodrocká,79,Yes,podunajske_biskupice,other,panel,partial_refurbishment
No,119990,4,No,Bodrocká,78,Yes,podunajske_biskupice,other,panel,refurbished
Yes,225000,3,No,Bajkalská,90,Yes,nove_mesto,other,other,old
Yes,120500,2,No,Riazanská,49,Yes,nove_mesto,other,panel,partial_refurbishment
Yes,118000,2,Yes,Riazanská,53,Yes,nove_mesto,other,panel,partial_refurbishment
No,55500,1.5,No,Stavbárska,41,No,vrakuna,other,panel,refurbished
No,126000,2,No,Na Piesku,47,No,ruzinov,rest,brick,refurbished
No,49000,1.5,No,Stavbárska,42,Yes,vrakuna,other,panel,refurbished
Yes,144900,2,No,Bosákova,55,Yes,petrzalka,other,brick,refurbished
No,133900,2,No,Račianska,72,No,nove_mesto,bottom,brick,refurbished
Yes,144900,2,No,Bosákova,55,Yes,petrzalka,other,panel,refurbished
Yes,142900,2,No,Bosákova,55,Yes,petrzalka,other,brick,refurbished
Yes,99999,3,No,Rybničná 61/B,75,Yes,raca,other,panel,refurbished
No,198000,3,No,Planét,92,Yes,ruzinov,bottom,brick,refurbished
No,157000,3,Yes,Budyšínska,69,Yes,nove_mesto,bottom,panel,refurbished
Yes,117000,2,Yes,Medzilaborecká,47,Yes,ruzinov,bottom,panel,refurbished
Yes,142900,2,Yes,Bosákova,55,Yes,petrzalka,other,brick,refurbished
Yes,144500,2,Yes,Bosákova,55,Yes,petrzalka,other,base,refurbished
Yes,84000,1,Yes,Pavla Horova,39,Yes,devinska_nova_ves,other,panel,refurbished
Yes,113700,3,Yes,Píniová,82,No,vrakuna,other,brick,old
Yes,113700,3,Yes,Píniová,82,No,vrakuna,top,brick,old
Yes,139900,3,No,Bazovského,76,No,dubravka,bottom,panel,old
No,129000,1,Yes,Námestie Slobody,50,No,stare_mesto,other,brick,old
No,168000,2,Yes,Klariská,44,No,stare_mesto,top,brick,refurbished
No,362800,3,Yes,Klariská,96,No,stare_mesto,top,brick,refurbished
Yes,116900,2,No,Medzilaborecká,47,Yes,ruzinov,bottom,panel,refurbished
No,132000,2,No,Železničiarska,52,No,stare_mesto,other,brick,refurbished
No,299900,4,Yes,Pri Vápenickom potoku,124,Yes,zahorska_bistrica,top,brick,refurbished
Yes,79000,1,Yes,Ľuda Zúbka,38,Yes,dubravka,other,panel,partial_refurbishment
Yes,259000,3,Yes,Majerníkova,104,Yes,karlova_ves,bottom,brick,refurbished
Yes,116900,2,No,Medzilaborecká,46,No,ruzinov,bottom,panel,refurbished
Yes,156900,3,No,Budyšínska,69,Yes,nove_mesto,bottom,panel,refurbished
No,164900,2,No,Karadžičova,64,Yes,stare_mesto,other,brick,refurbished
Yes,81000,1,No,Ľuda Zúbka,31,Yes,dubravka,other,panel,partial_refurbishment
Yes,79000,1,Yes,Ľuda Zúbka,31,Yes,dubravka,bottom,panel,partial_refurbishment
Yes,127000,3,Yes,Bakošova,76,Yes,lamac,other,panel,partial_refurbishment
No,113000,2,No,Stromová,43,Yes,nove_mesto,other,base,refurbished
No,78999,1,Yes,Topoľčianska,36,Yes,petrzalka,other,panel,partial_refurbishment
Yes,97000,1.5,No,Šustekova,36,Yes,petrzalka,other,panel,partial_refurbishment
Yes,104000,3,Yes,Korytnická,72,Yes,podunajske_biskupice,bottom,panel,partial_refurbishment
Yes,94500,2,No,Vlčie hrdlo,43,Yes,ruzinov,other,panel,refurbished
Yes,150000,2,Yes,Staré Grunty,76,Yes,karlova_ves,bottom,brick,refurbished
Yes,119000,3,No,Iľjušinova,68,Yes,petrzalka,other,panel,partial_refurbishment
Yes,95000,3,Yes,Estónska,69,No,podunajske_biskupice,top,panel,old
Yes,133000,3,Yes,Medveďovej,70,Yes,petrzalka,top,panel,refurbished
Yes,143000,2,No,Vajnorská,74,No,nove_mesto,other,brick,partial_refurbishment
Yes,147000,3,Yes,Heyrovského,75,Yes,lamac,other,panel,partial_refurbishment
Yes,235000,4,Yes,Špitálska,108,Yes,stare_mesto,other,brick,refurbished
Yes,104000,3,Yes,Korytnická,72,Yes,podunajske_biskupice,bottom,panel,partial_refurbishment
No,274152,3,Yes,Alstrova,146,No,raca,top,brick,refurbished
No,269123,4,Yes,Alstrova,118,No,raca,other,brick,refurbished
No,174024,3,Yes,Novohorská,65,No,raca,other,brick,refurbished
Yes,150862,3,Yes,Novohorská,65,No,raca,bottom,brick,refurbished
No,157976,2,Yes,Barónka,64,No,raca,other,brick,refurbished
No,104796,1,No,Novohorská,39,No,raca,other,brick,refurbished
No,176500,3,Yes,Trnavská cesta,78,Yes,nove_mesto,top,brick,refurbished
No,64950,1,Yes,Dudvážska,37,No,podunajske_biskupice,other,panel,old
Yes,130000,2,No,Kaštieľska,44,Yes,ruzinov,other,brick,refurbished
Yes,142500,3,Yes,Šumavská,65,No,ruzinov,other,brick,refurbished
No,99990,1,No,Ďatelinová,35,No,ruzinov,bottom,panel,refurbished
Yes,480000,3,No,Prešernova,173,Yes,stare_mesto,top,brick,refurbished
Yes,122400,3,Yes,Bošániho,61,Yes,dubravka,other,panel,old
Yes,144000,3,Yes,Janotova,78,Yes,karlova_ves,other,panel,partial_refurbishment
Yes,120000,2,No,Račianska,48,Yes,nove_mesto,other,brick,refurbished
Yes,149990,3,Yes,Trnavská cesta,87,Yes,ruzinov,other,brick,old
Yes,118000,2,Yes,Bujnákova,41,No,dubravka,other,panel,partial_refurbishment
Yes,112000,2,No,Račianska,52,Yes,nove_mesto,other,panel,old
Yes,94900,1,Yes,Miletičova,31,Yes,ruzinov,other,brick,refurbished
Yes,108000,4,No,Stavbárska,80,Yes,vrakuna,other,panel,refurbished
Yes,124990,3,Yes,Hronská,68,Yes,podunajske_biskupice,bottom,panel,refurbished
Yes,375497,4,Yes,Pod Vachmajstrom,90,Yes,nove_mesto,top,other,refurbished
Yes,128000,2,No,Vyšehradská,62,Yes,petrzalka,other,base,refurbished
Yes,269074,2,Yes,Pod Vachmajstrom,73,Yes,nove_mesto,other,other,refurbished
Yes,136900,2,No,Haburská,60,Yes,ruzinov,other,brick,refurbished
Yes,109900,2,Yes,Riazanská,54,Yes,nove_mesto,other,brick,refurbished
Yes,105000,3,No,Korytnická,74,Yes,podunajske_biskupice,other,panel,refurbished
Yes,99500,3,Yes,Rajčianska,68,Yes,vrakuna,other,panel,old
Yes,129900,3,Yes,Československých parašutistov,77,Yes,nove_mesto,other,panel,partial_refurbishment
No,64900,1,No,Popradská,36,No,podunajske_biskupice,top,brick,refurbished
Yes,145000,3,Yes,Rumančeková,69,Yes,ruzinov,top,panel,refurbished
No,116000,2,Yes,Tranovského,51,Yes,dubravka,other,panel,refurbished
Yes,83900,1,No,Pavla Horova,35,Yes,devinska_nova_ves,rest,panel,refurbished
No,69900,1,Yes,Hradská,37,No,vrakuna,other,panel,partial_refurbishment
Yes,239380,2,Yes,Na varte,68,Yes,nove_mesto,bottom,brick,refurbished
No,110900,2,Yes,Gallayova,53,No,dubravka,other,panel,refurbished
No,305320,3,Yes,Na varte,98,Yes,nove_mesto,other,brick,refurbished
No,236070,3,Yes,Na varte,73,Yes,nove_mesto,top,brick,refurbished
No,424620,4,Yes,Na varte,132,Yes,nove_mesto,rest,brick,refurbished
No,441730,4,Yes,Na varte,133,Yes,nove_mesto,rest,brick,refurbished
Yes,169000,2,No,Na Križovatkách,64,Yes,ruzinov,other,brick,refurbished
Yes,85000,1,No,Čiližská,40,No,vrakuna,other,brick,refurbished
Yes,139999,3,Yes,Hraničná,59,Yes,ruzinov,top,panel,partial_refurbishment
Yes,131000,3,Yes,Jasovská,76,Yes,petrzalka,other,panel,partial_refurbishment
Yes,113000,2,No,Mánesovo námestie,54,Yes,petrzalka,other,panel,partial_refurbishment
No,175000,2,Yes,Podtatranského,51,No,stare_mesto,rest,brick,refurbished
Yes,334800,3,No,Búdková,89,Yes,stare_mesto,other,brick,refurbished
No,245000,3,Yes,Tupého,105,Yes,nove_mesto,other,brick,refurbished
Yes,126000,3,No,Hany Meličkovej,68,Yes,karlova_ves,other,panel,old
No,135000,3,Yes,Astronomická,73,No,ruzinov,bottom,brick,refurbished
Yes,115000,3,No,Učiteľská,85,No,podunajske_biskupice,other,brick,partial_refurbishment
Yes,250000,3,Yes,Zámocká,83,Yes,stare_mesto,top,brick,refurbished
Yes,209999,3,Yes,Na Revíne,82,Yes,nove_mesto,other,brick,refurbished
Yes,145000,3,No,Rumančeková,69,Yes,ruzinov,top,panel,refurbished
Yes,140000,3,No,Hraničná,55,Yes,ruzinov,top,panel,refurbished
Yes,79000,1,Yes,Ľuda Zúbka,39,Yes,dubravka,other,panel,partial_refurbishment
No,112000,2,No,Šancová,43,No,nove_mesto,other,brick,partial_refurbishment
Yes,119500,2,Yes,Sibírska,53,Yes,nove_mesto,bottom,panel,partial_refurbishment
Yes,139800,3,No,Hlaváčikova,160,No,karlova_ves,bottom,brick,refurbished
Yes,131000,3,Yes,Beňadická,72,Yes,petrzalka,top,panel,refurbished
No,77000,2,No,Vlčie hrdlo,40,No,ruzinov,other,panel,partial_refurbishment
Yes,139500,3,No,Pribišova,87,Yes,karlova_ves,other,panel,partial_refurbishment
Yes,80600,1,Yes,Ľuda Zúbka,39,Yes,dubravka,other,panel,partial_refurbishment
Yes,139990,3,Yes,Rumančeková,69,Yes,ruzinov,top,panel,partial_refurbishment
Yes,143000,3,Yes,Janotova,76,Yes,karlova_ves,other,panel,partial_refurbishment
Yes,80000,2,No,Vlčie hrdlo,48,Yes,ruzinov,other,panel,refurbished
Yes,144900,2,No,Bosákova,55,Yes,petrzalka,other,other,refurbished
Yes,75000,2,Yes,Stavbárska,54,Yes,vrakuna,other,panel,partial_refurbishment
No,139900,2,No,Jégeho,54,Yes,ruzinov,other,brick,refurbished
No,112500,2,Yes,Kadnárova,58,No,raca,other,brick,old
Yes,245000,3,No,Mickiewiczova,102,Yes,stare_mesto,other,brick,refurbished
No,107000,1,No,Kozmonautická,44,Yes,ruzinov,top,panel,refurbished
Yes,131000,3,No,Jasovská,76,Yes,petrzalka,other,panel,refurbished
Yes,135000,2,Yes,Údernícka,51,Yes,petrzalka,other,brick,refurbished
Yes,161800,2,Yes,Sibírska,60,No,nove_mesto,other,brick,partial_refurbishment
Yes,113900,1,No,Rastislavova,45,Yes,ruzinov,other,brick,refurbished
Yes,135000,3,No,Jána Smreka,73,Yes,devinska_nova_ves,other,panel,partial_refurbishment
Yes,124500,3,Yes,Lackova,65,Yes,karlova_ves,bottom,panel,partial_refurbishment
Yes,84900,1.5,No,Podzáhradná,52,Yes,podunajske_biskupice,other,panel,old
No,259000,3,No,Obchodná,100,Yes,stare_mesto,bottom,brick,old
No,92990,3,No,Poľnohospodárska,60,No,vrakuna,top,brick,refurbished
No,48000,1.5,No,Stavbárska,40,No,vrakuna,other,panel,refurbished
Yes,137000,4,No,Jána Smreka,75,Yes,devinska_nova_ves,other,panel,partial_refurbishment
Yes,133000,3,Yes,Holíčska,65,Yes,petrzalka,bottom,panel,refurbished
No,149990,2,No,Račianske mýto,69,Yes,nove_mesto,other,brick,refurbished
Yes,94800,1.5,Yes,Holíčska,45,Yes,petrzalka,other,panel,old
Yes,143000,3,Yes,Janotova,74,Yes,karlova_ves,other,panel,partial_refurbishment
Yes,143500,2,No,Moldavská,61,Yes,ruzinov,other,panel,refurbished
Yes,117900,2,Yes,Martinčekova,53,Yes,ruzinov,top,panel,refurbished
No,110000,1,Yes,Záhradnícka 89,40,Yes,ruzinov,top,brick,refurbished
Yes,117000,2,Yes,Kazanská,45,Yes,podunajske_biskupice,top,brick,refurbished
Yes,120000,3,Yes,Učiteľská,78,No,podunajske_biskupice,bottom,brick,old
Yes,280000,3,Yes,Ružinovská,135,Yes,ruzinov,other,brick,refurbished
No,73000,1,No,Banšelova,33,No,ruzinov,bottom,brick,refurbished
Yes,105000,1.5,Yes,Holíčska,46,Yes,petrzalka,other,panel,partial_refurbishment
Yes,135000,3,No,Holíčska,65,Yes,petrzalka,bottom,panel,refurbished
Yes,199990,4,Yes,Robotnícka,103,Yes,nove_mesto,bottom,brick,old
Yes,95900,3,No,Toplianska,66,Yes,vrakuna,other,panel,old
Yes,198360,3,No,Pri starej prachárni,66,Yes,nove_mesto,other,brick,refurbished
No,384000,3,No,Bobuľová,122,Yes,nove_mesto,bottom,panel,refurbished
No,122000,4,Yes,Bodrocká,79,Yes,podunajske_biskupice,other,panel,refurbished
No,276000,3,No,Štefanovičova,88,No,stare_mesto,top,brick,refurbished
No,98000,3,No,Šancová,59,No,stare_mesto,other,brick,refurbished
Yes,205000,2,Yes,Svoradova,75,No,stare_mesto,other,brick,refurbished
No,276000,3,No,Štefanovičova,110,No,stare_mesto,top,brick,refurbished
Yes,309000,3,Yes,Gorkého,93,Yes,stare_mesto,other,brick,refurbished
No,408000,3,No,Klobučnícka,108,Yes,stare_mesto,other,brick,refurbished
Yes,84518,1,No,Bystrická,59,Yes,devinska_nova_ves,bottom,brick,refurbished
Yes,112000,1.5,Yes,Mánesovo námestie,53,Yes,petrzalka,other,panel,partial_refurbishment
Yes,129000,2,No,Kaštieľska,47,Yes,ruzinov,other,brick,refurbished
No,125000,2,Yes,Budyšínska,45,No,nove_mesto,rest,brick,old
Yes,118999,1,No,Martinčekova,53,Yes,ruzinov,top,panel,refurbished
No,87500,2,Yes,Hornádska,51,Yes,podunajske_biskupice,other,panel,refurbished
No,81600,1,Yes,Fedinova,37,Yes,petrzalka,other,panel,partial_refurbishment
Yes,158120,2,No,Pri starej prachárni,51,Yes,nove_mesto,other,brick,refurbished
No,320000,3,No,Mateja Bela,141,No,stare_mesto,top,brick,refurbished
Yes,122000,3,Yes,Krásnohorská,65,Yes,petrzalka,top,panel,refurbished
Yes,266000,3,Yes,Banskobystrická,106,No,stare_mesto,other,brick,partial_refurbishment
No,87900,2,No,Rajčianska,50,Yes,vrakuna,bottom,panel,partial_refurbishment
No,122000,4,No,Bodrocká,86,Yes,podunajske_biskupice,other,panel,refurbished
Yes,122000,3,No,Krásnohorská,67,Yes,petrzalka,top,panel,refurbished
Yes,138000,3,No,Brančská,70,Yes,petrzalka,other,panel,refurbished
Yes,133000,3,No,Krásnohorská,65,Yes,petrzalka,other,panel,refurbished
No,99300,1,No,Bajkalská,32,Yes,ruzinov,other,brick,refurbished
Yes,119900,2,Yes,Martinčekova,53,Yes,ruzinov,top,brick,refurbished
Yes,392000,3,Yes,Dvořákovo nábrežie,88,Yes,stare_mesto,other,other,refurbished
Yes,390000,3,Yes,Dvořákovo nábrežie,97,Yes,stare_mesto,other,other,refurbished
Yes,102330,1,No,Pri starej prachárni,36,Yes,nove_mesto,other,brick,refurbished
Yes,98000,3,Yes,Ipeľská,69,Yes,podunajske_biskupice,other,panel,partial_refurbishment
No,325300,4,No,Na Grunte,107,Yes,nove_mesto,bottom,base,refurbished
Yes,155000,3,Yes,Sekulská,75,Yes,karlova_ves,other,panel,refurbished
No,76900,1,Yes,Beňadická,36,Yes,petrzalka,other,panel,old
No,308900,3,No,Gorkého 9,88,Yes,stare_mesto,other,brick,refurbished
No,161600,3,Yes,Karadžičova,64,Yes,stare_mesto,bottom,brick,refurbished
No,407900,3,No,Klobučnícka 4,108,Yes,stare_mesto,other,brick,refurbished
No,179990,3,Yes,000,72,No,ruzinov,other,brick,refurbished
Yes,204900,2,Yes,Svoradova 9,65,No,stare_mesto,other,brick,refurbished
Yes,144990,2,Yes,Jelačičova,59,Yes,ruzinov,other,brick,refurbished
Yes,79900,1.5,No,Podzáhradná,52,Yes,podunajske_biskupice,other,panel,old
No,166800,2,No,Karadžičova,64,Yes,stare_mesto,other,brick,refurbished
Yes,122000,3,Yes,Krásnohorská,65,Yes,petrzalka,other,panel,refurbished
Yes,122000,3,No,Krásnohorská,69,Yes,petrzalka,top,panel,partial_refurbishment
Yes,130000,3,Yes,Krásnohorská,65,Yes,petrzalka,top,panel,refurbished
No,123000,2,No,Bazová,56,Yes,ruzinov,top,brick,refurbished
Yes,78000,1.5,No,Vlčie hrdlo,40,Yes,ruzinov,other,other,refurbished
Yes,115000,2,No,Kazanská,45,Yes,podunajske_biskupice,top,brick,refurbished
Yes,160000,2,Yes,Žltá,62,Yes,petrzalka,bottom,brick,refurbished
No,77500,1,No,Slovinská,30,No,ruzinov,top,brick,refurbished
Yes,133000,4,No,Rajecká,79,Yes,vrakuna,other,panel,refurbished
No,112000,2,Yes,Osuského,57,Yes,petrzalka,other,panel,partial_refurbishment
Yes,119500,2,Yes,okolie Racianskeho myta,57,Yes,nove_mesto,other,panel,partial_refurbishment
Yes,132600,3,Yes,Topoľčianska,69,Yes,petrzalka,other,panel,refurbished
No,139990,3,No,Šancová,74,No,stare_mesto,other,brick,partial_refurbishment
No,89000,2,Yes,Estónska,35,Yes,podunajske_biskupice,other,panel,refurbished
Yes,105000,3,Yes,Bieloruská,72,Yes,podunajske_biskupice,other,panel,partial_refurbishment
Yes,122000,3,Yes,Krásnohorská,68,Yes,petrzalka,top,panel,refurbished
Yes,119000,3,No,Rajecká,82,Yes,vrakuna,other,panel,refurbished
Yes,125000,3,Yes,Bakošova,70,Yes,lamac,rest,panel,old
No,105000,1,No,Mozartova,38,Yes,stare_mesto,other,panel,partial_refurbishment
Yes,79500,1,No,Bujnákova,35,No,dubravka,bottom,panel,partial_refurbishment
No,178990,3,No,Béžová 2,88,Yes,petrzalka,top,other,refurbished
No,72990,1,No,Fedákova,38,Yes,dubravka,other,panel,partial_refurbishment
Yes,169000,4,Yes,Tománkova 1,90,Yes,karlova_ves,other,panel,partial_refurbishment
Yes,199990,4,No,Žltá 9,96,Yes,petrzalka,bottom,base,refurbished
No,133000,3,Yes,Arménska,92,No,vrakuna,other,brick,refurbished
Yes,149500,2,No,Šuňavcova,58,No,nove_mesto,other,brick,refurbished
No,71600,1.5,Yes,Vlčie Hrdlo,31,Yes,ruzinov,other,other,refurbished
No,149000,3,No,Súmračná,66,No,ruzinov,bottom,panel,partial_refurbishment
Yes,158900,3,No,Budyšínska,74,Yes,nove_mesto,bottom,panel,refurbished
Yes,117900,2,No,Martinčekova,61,Yes,ruzinov,top,panel,refurbished
Yes,242950,4,No,Potočná,154,No,raca,rest,brick,refurbished
No,260000,4,Yes,Podzáhradná,230,No,podunajske_biskupice,rest,brick,refurbished
Yes,41500,1.5,No,Stavbárska,36,Yes,vrakuna,other,panel,partial_refurbishment
Yes,135000,3,Yes,Dopravná,72,No,raca,top,brick,partial_refurbishment
Yes,135000,3,Yes,Ševčenkova,70,Yes,petrzalka,other,panel,refurbished
No,106000,1,Yes,Mozartova,38,Yes,stare_mesto,other,panel,partial_refurbishment
Yes,134000,3,Yes,Drobného,70,Yes,dubravka,other,panel,refurbished
Yes,115000,2,Yes,Agátová,61,Yes,dubravka,other,brick,refurbished
Yes,225000,3,No,Bajkalská,120,Yes,ruzinov,other,brick,refurbished
No,113000,2,Yes,Fedákova,53,Yes,dubravka,top,panel,refurbished
No,330000,3,No,Štúrova,73,Yes,stare_mesto,top,brick,refurbished
No,150600,3,Yes,Súmračná,64,Yes,ruzinov,other,other,partial_refurbishment
Yes,103000,1,No,Vyšehradská,52,Yes,petrzalka,other,brick,refurbished
Yes,155000,2,No,Tomášikova,79,Yes,ruzinov,other,brick,refurbished
Yes,239500,4,Yes,Krížna 24,114,Yes,stare_mesto,other,brick,partial_refurbishment
No,149000,3,Yes,Súmračná,64,Yes,ruzinov,other,panel,partial_refurbishment
Yes,105000,3,No,Lotyšská,70,Yes,podunajske_biskupice,other,panel,partial_refurbishment
Yes,345000,3,Yes,Cesta na Kamzík,115,Yes,nove_mesto,other,brick,refurbished
No,76999,1,Yes,Repašského,28,Yes,dubravka,other,panel,partial_refurbishment
Yes,79500,1,No,Bujnákova,35,No,dubravka,bottom,panel,old
Yes,123000,3,No,Baltská,60,Yes,podunajske_biskupice,other,brick,refurbished
No,315000,4,Yes,Mariánska,127,Yes,stare_mesto,other,brick,refurbished
Yes,104000,3,Yes,Bieloruská,68,Yes,podunajske_biskupice,bottom,panel,partial_refurbishment
Yes,135000,3,Yes,Jána Smreka,73,Yes,devinska_nova_ves,other,panel,partial_refurbishment
Yes,119000,3,Yes,Topoľčianska,78,Yes,petrzalka,other,panel,old
No,127000,3,Yes,Hodálova,65,Yes,karlova_ves,other,panel,refurbished
Yes,132000,3,Yes,Vilová,69,Yes,petrzalka,other,brick,partial_refurbishment
No,88000,1,No,Rovniankova,36,Yes,petrzalka,other,panel,refurbished
No,150000,2,No,Palárikova,48,No,stare_mesto,top,brick,refurbished
Yes,156900,4,Yes,bohrova,90,Yes,petrzalka,other,panel,refurbished
Yes,81400,1,No,Nobelova,40,Yes,nove_mesto,rest,brick,refurbished
Yes,130000,3,No,Krásnohorská,65,Yes,petrzalka,other,panel,refurbished
No,145000,3,No,Beniakova,65,Yes,karlova_ves,top,panel,refurbished
Yes,126000,3,Yes,Rajčianska,65,Yes,vrakuna,bottom,panel,partial_refurbishment
No,92900,3,No,Šancová,59,No,stare_mesto,other,panel,refurbished
No,69990,1,No,Vlčie hrdlo,31,Yes,ruzinov,other,panel,refurbished
No,118000,2,No,Bujnákova,41,No,dubravka,other,panel,partial_refurbishment
Yes,365000,4,Yes,Matejkova,115,Yes,karlova_ves,top,brick,refurbished
Yes,130000,4,Yes,Bodrocká,86,Yes,podunajske_biskupice,other,panel,partial_refurbishment
No,138000,3,No,Exnárová,72,Yes,ruzinov,bottom,panel,refurbished
Yes,184000,2,No,Dobrovského,67,Yes,stare_mesto,other,brick,refurbished
Yes,109990,3,No,Bodrocká,69,No,podunajske_biskupice,top,brick,refurbished
Yes,121000,3,Yes,Saratovská,70,Yes,dubravka,rest,panel,partial_refurbishment
Yes,80600,1,Yes,Vrakunská,37,Yes,podunajske_biskupice,other,brick,refurbished
No,109990,2,Yes,Kupeckého,37,Yes,ruzinov,bottom,brick,refurbished
No,149990,1,Yes,Ulica 29. augusta,58,Yes,stare_mesto,bottom,brick,refurbished
Yes,102700,2,Yes,Ďatelinová,34,No,ruzinov,other,brick,refurbished
Yes,99900,1,No,Hradská,44,No,vrakuna,rest,brick,refurbished
Yes,209000,3,No,Hradská,126,No,vrakuna,rest,brick,refurbished
Yes,139900,3,Yes,Bujnákova 1,60,No,dubravka,other,panel,refurbished
No,38000,1.5,No,Stavbárska,40,Yes,vrakuna,other,panel,partial_refurbishment
Yes,104000,3,Yes,Bieloruská,68,Yes,podunajske_biskupice,other,panel,partial_refurbishment
No,135000,3,Yes,Astronomická,75,No,ruzinov,bottom,brick,refurbished
Yes,129000,3,No,Korytnická,70,Yes,podunajske_biskupice,other,panel,refurbished
