balcony,price,no_of_bedrooms,basement,street,size,elevator,district,floor,material,status
Yes,105000,1.5,Yes,Pečnianska,53,Yes,petrzalka,other,panel,refurbished
No,148000,2,No,Floglova,51,Yes,stare_mesto,bottom,brick,old
Yes,250000,4,No,Dunajská,132,No,stare_mesto,other,brick,refurbished
No,385000,3,No,Žltá,100,Yes,petrzalka,top,other,refurbished
No,385000,4,No,Žltá,100,Yes,petrzalka,top,other,refurbished
Yes,75384.23,1,No,Uzbecká,39,Yes,podunajske_biskupice,rest,base,refurbished
Yes,104139.36,2,No,Uzbecká,56,Yes,podunajske_biskupice,rest,base,refurbished
Yes,229278.35,4,No,Uzbecká,134,Yes,podunajske_biskupice,rest,base,refurbished
Yes,251160,3,Yes,Landererova,92,Yes,stare_mesto,other,other,refurbished
No,74900,1,Yes,Hanulova,38,Yes,dubravka,other,panel,refurbished
No,97000,2,Yes,Medveďovej,53,Yes,petrzalka,top,panel,partial_refurbishment
Yes,470000,4,No,Svetlá,202,Yes,stare_mesto,top,brick,refurbished
Yes,250000,2,Yes,Staré Grunty,122,Yes,karlova_ves,top,brick,refurbished
Yes,86000,1,No,Žltá,33,Yes,petrzalka,other,brick,refurbished
Yes,73300,2,Yes,Odborárska 3,34,Yes,nove_mesto,other,brick,refurbished
Yes,126600,3,Yes,Odborárska 3,64,Yes,nove_mesto,other,brick,refurbished
Yes,116000,3,No,Gessayova,71,Yes,petrzalka,other,panel,partial_refurbishment
Yes,275000,3,No,Mickiewiczova,102,Yes,stare_mesto,other,brick,refurbished
Yes,263000,3,No,Ľanová,100,No,ruzinov,top,brick,refurbished
Yes,255000,4,Yes,Matejkova,122,Yes,karlova_ves,other,brick,refurbished
Yes,117500,2,Yes,Sibírska,56,No,nove_mesto,bottom,panel,partial_refurbishment
Yes,360000,4,Yes,Tupého 25,144,Yes,nove_mesto,bottom,brick,refurbished
Yes,257000,4,Yes,Klincová,111,Yes,ruzinov,top,base,refurbished
No,68000,1,Yes,Homolova,38,Yes,dubravka,other,panel,old
Yes,129000,3,Yes,Jána Poničana,74,Yes,devinska_nova_ves,other,panel,partial_refurbishment
No,309900,4,Yes,Pri Vápenickom potoku,137,Yes,zahorska_bistrica,top,brick,refurbished
No,95000,1,Yes,Píniová,40,No,vrakuna,bottom,brick,refurbished
Yes,132000,2,No,Kadnárova,58,No,raca,other,brick,refurbished
Yes,125000,3,No,Vyšehradská,74,Yes,petrzalka,other,panel,partial_refurbishment
Yes,122000,3,Yes,Vyšehradská,74,Yes,petrzalka,other,panel,partial_refurbishment
No,99800,2,No,Tomanova,47,No,vajnory,top,brick,refurbished
Yes,133700,2,Yes,Kadnárova,60,No,raca,other,brick,refurbished
Yes,125000,3,Yes,Haburská,64,Yes,ruzinov,bottom,panel,partial_refurbishment
No,349000,3,No,Dunajská,157,Yes,stare_mesto,top,brick,refurbished
No,173000,3,Yes,Ulica 29. augusta,70,No,stare_mesto,bottom,brick,refurbished
No,396000,3,Yes,Paulínyho,141,Yes,stare_mesto,top,brick,refurbished
Yes,132000,2,Yes,Kadnárová,60,No,raca,other,brick,refurbished
Yes,120996.6,4,Yes,Panónska cesta,60,Yes,petrzalka,other,brick,refurbished
No,105000,1,Yes,Mozartova,38,Yes,stare_mesto,other,panel,partial_refurbishment
No,91900,3,No,Šancová,59,No,stare_mesto,rest,panel,refurbished
Yes,338200,3,No,Búdková,109,Yes,stare_mesto,other,brick,refurbished
Yes,232800,2,No,Búdková,69,Yes,stare_mesto,other,brick,refurbished
Yes,140000,2,Yes,Kadnárova,60,No,raca,rest,brick,refurbished
Yes,99900,1.5,Yes,Vavilovova 26,53,Yes,petrzalka,other,panel,partial_refurbishment
Yes,1e+05,1,Yes,Nejedlého,37,Yes,dubravka,other,panel,refurbished
Yes,182098.8,2,No,Búdková,54,Yes,stare_mesto,bottom,brick,refurbished
Yes,193800,3,Yes,Mierová,81,Yes,ruzinov,other,brick,refurbished
Yes,198800,3,Yes,Mierová,81,Yes,ruzinov,other,brick,refurbished
Yes,215800,3,Yes,Mierová,99,Yes,ruzinov,other,brick,refurbished
Yes,244000,3,Yes,Mierová,82,Yes,ruzinov,other,brick,refurbished
Yes,328000,4,Yes,Mierová,184,Yes,ruzinov,top,brick,refurbished
Yes,107900,2,Yes,Rovníková,44,Yes,ruzinov,bottom,panel,refurbished
No,280000,4,No,Radlinského,211,No,stare_mesto,top,brick,refurbished
Yes,122000,3,Yes,Lachova,79,Yes,petrzalka,top,panel,partial_refurbishment
Yes,235000,3,No,Kozia,71,No,stare_mesto,rest,brick,refurbished
Yes,113000,2,No,Martinčekova,50,Yes,ruzinov,other,panel,partial_refurbishment
No,119000,2,No,Štefunkova,68,Yes,ruzinov,rest,panel,old
No,128000,2,No,Hollého,38,Yes,stare_mesto,other,brick,refurbished
No,91000,2,No,Čiližská,45,No,vrakuna,other,panel,refurbished
Yes,380000,3,No,Tupého,123,Yes,nove_mesto,other,brick,refurbished
Yes,131000,3,No,Rovniankova,68,Yes,petrzalka,other,panel,refurbished
No,265000,2,No,Klariská,100,No,stare_mesto,top,brick,refurbished
Yes,125000,4,Yes,Homolova,78,No,dubravka,rest,brick,partial_refurbishment
No,160000,3,Yes,Ulica 29. augusta 11,70,No,stare_mesto,bottom,brick,partial_refurbishment
Yes,299000,3,Yes,Račianska,137,No,nove_mesto,rest,brick,refurbished
Yes,99900,3,Yes,Podunajské Biskupice,98,Yes,podunajske_biskupice,other,brick,refurbished
No,102000,2,Yes,Alžbety Gwerkovej,53,Yes,petrzalka,other,panel,refurbished
Yes,99900,3,Yes,Podunajské Biskupice,98,Yes,podunajske_biskupice,other,brick,refurbished
Yes,110000,3,Yes,Petržalka,68,Yes,petrzalka,rest,panel,old
Yes,120000,2,Yes,Sibírska,51,Yes,nove_mesto,rest,panel,partial_refurbishment
Yes,112900,2,No,Podunajská,51,Yes,podunajske_biskupice,other,brick,refurbished
No,311309,3,Yes,Sokolská,89,Yes,stare_mesto,other,base,refurbished
Yes,345000,3,Yes,Strážna 9,109,Yes,nove_mesto,bottom,brick,refurbished
No,159000,3,Yes,Ulica 29. augusta,70,No,stare_mesto,rest,brick,refurbished
Yes,81299,1,No,Pekná cesta,32,Yes,raca,other,brick,refurbished
Yes,90499,1,No,Pekná cesta,36,Yes,raca,other,brick,refurbished
No,296542,3,Yes,Sokolská,89,Yes,stare_mesto,other,base,refurbished
No,295469,3,Yes,Sokolská,89,No,stare_mesto,other,base,refurbished
Yes,121320,3,No,Nejedého,61,Yes,dubravka,bottom,brick,refurbished
Yes,125000,3,Yes,Studenohorská,77,Yes,lamac,bottom,panel,partial_refurbishment
