balcony,no_of_bedrooms,basement,street,size,elevator,district,floor,material,status,price
Yes,1,Yes,other,2.36140225854616,Yes,devinska_nova_ves,other,panel,refurbished,4.92427928606188
Yes,3,Yes,other,2.62179254782945,No,vrakuna,other,brick,old,5.05576046468774
Yes,3,Yes,other,2.62179254782945,No,vrakuna,top,brick,old,5.05576046468774
Yes,3,No,other,2.59742013477924,No,dubravka,bottom,panel,old,5.14581771449183
No,3,Yes,other,2.67084050168301,No,stare_mesto,top,brick,refurbished,5.55966727838806
Yes,2,No,other,2.43158755086612,Yes,ruzinov,bottom,panel,refurbished,5.06781451116184
Yes,1,Yes,other,2.35135834444068,Yes,dubravka,other,panel,partial_refurbishment,4.89762709129044
Yes,3,Yes,other,2.69498681714902,Yes,karlova_ves,bottom,brick,refurbished,5.41329976408125
Yes,3,No,other,2.56572273107389,Yes,nove_mesto,bottom,panel,refurbished,5.19562294358694
No,2,No,other,2.5404886497767,Yes,stare_mesto,other,brick,refurbished,5.21722065564452
Yes,1,Yes,other,2.27023601659818,Yes,dubravka,bottom,panel,partial_refurbishment,4.89762709129044
Yes,3,Yes,other,2.59742013477924,Yes,lamac,other,panel,partial_refurbishment,5.10380372095596
No,2,No,other,2.3985544514435,Yes,nove_mesto,other,base,refurbished,5.05307844348342
No,1,Yes,other,2.33023317850707,Yes,petrzalka,other,panel,partial_refurbishment,4.89762159385714
Yes,1.5,No,other,2.33023317850707,Yes,petrzalka,other,panel,partial_refurbishment,4.98677173426625
Yes,2,No,other,2.3985544514435,Yes,ruzinov,other,panel,refurbished,4.97543180850926
Yes,2,Yes,other,2.59742013477924,Yes,karlova_ves,bottom,brick,refurbished,5.17609125905568
Yes,3,No,other,2.56086405021975,Yes,petrzalka,other,panel,partial_refurbishment,5.07554696139253
Yes,3,Yes,other,2.57049346871562,Yes,petrzalka,top,panel,refurbished,5.12385164096709
Yes,2,No,other,2.58875139904474,No,nove_mesto,other,brick,partial_refurbishment,5.15533603746506
Yes,3,Yes,other,2.5931221847288,Yes,lamac,other,panel,partial_refurbishment,5.16731733474818
Yes,3,Yes,other,2.57978224404418,Yes,podunajske_biskupice,bottom,panel,partial_refurbishment,5.01703333929878
No,3,Yes,other,2.7919131430795,No,raca,top,brick,refurbished,5.43799141850619
No,4,Yes,other,2.73207712333566,No,raca,other,brick,refurbished,5.42995081536404
No,3,Yes,other,2.54573010759662,No,raca,other,brick,refurbished,5.24060914683892
Yes,3,Yes,other,2.54573010759662,No,raca,bottom,brick,refurbished,5.17857986092471
No,2,Yes,other,2.5404886497767,No,raca,other,brick,refurbished,5.19859111316157
No,3,Yes,other,2.60580603149132,Yes,nove_mesto,top,brick,refurbished,5.24674470972384
No,1,Yes,other,2.34097566980137,No,podunajske_biskupice,other,panel,old,4.81257915540905
Yes,2,No,other,2.4071656661104,Yes,ruzinov,other,brick,refurbished,5.11394335230684
Yes,3,Yes,other,2.54573010759662,No,ruzinov,other,brick,refurbished,5.15381486434453
Yes,3,No,other,2.83728016683814,Yes,stare_mesto,top,brick,refurbished,5.68124123737559
Yes,3,Yes,other,2.52412349687282,Yes,dubravka,other,panel,old,5.08778141780954
Yes,3,Yes,other,2.60580603149132,Yes,karlova_ves,other,panel,partial_refurbishment,5.15836249209525
Yes,2,No,other,2.43929501765442,Yes,nove_mesto,other,brick,refurbished,5.07918124604763
Yes,3,Yes,other,2.64044614796885,Yes,ruzinov,other,brick,old,5.17606230512508
Yes,2,Yes,other,2.38054954862841,No,dubravka,other,panel,partial_refurbishment,5.07188200730613
Yes,1,Yes,other,2.27023601659818,Yes,ruzinov,other,brick,refurbished,4.97726621242729
Yes,3,Yes,other,2.56086405021975,Yes,podunajske_biskupice,bottom,panel,refurbished,5.09687526805969
Yes,4,Yes,other,2.65100162379407,Yes,nove_mesto,top,other,refurbished,5.57460647159678
Yes,2,No,other,2.52968922278751,Yes,petrzalka,other,base,refurbished,5.10720996964787
Yes,2,Yes,other,2.58430553381761,Yes,nove_mesto,other,other,refurbished,5.42987173491702
Yes,2,No,other,2.51844157614637,Yes,ruzinov,other,brick,refurbished,5.13640344813399
Yes,2,Yes,other,2.48164384502275,Yes,nove_mesto,other,brick,refurbished,5.04099769242349
Yes,3,Yes,other,2.56086405021975,Yes,vrakuna,other,panel,old,4.99782308074573
Yes,3,Yes,other,2.60164739763241,Yes,nove_mesto,other,panel,partial_refurbishment,5.11360915107303
No,1,No,other,2.33023317850707,No,podunajske_biskupice,top,brick,refurbished,4.81224469680037
No,2,Yes,other,2.46125468645054,Yes,dubravka,other,panel,refurbished,5.06445798922692
Yes,1,No,other,2.3191078731583,Yes,devinska_nova_ves,rest,panel,refurbished,4.9237619608287
No,1,Yes,other,2.34097566980137,No,vrakuna,other,panel,partial_refurbishment,4.84447717574568
Yes,2,Yes,other,2.56086405021975,Yes,nove_mesto,bottom,brick,refurbished,5.37908786264317
No,2,Yes,other,2.47500946563237,No,dubravka,other,panel,refurbished,5.04493154614916
No,3,Yes,other,2.67710886312593,Yes,nove_mesto,other,brick,refurbished,5.48475525370956
No,3,Yes,other,2.58430553381761,Yes,nove_mesto,top,brick,refurbished,5.37304080002968
No,4,Yes,other,2.76399780169361,Yes,nove_mesto,rest,brick,refurbished,5.6280004459889
No,4,Yes,other,2.76611327175302,Yes,nove_mesto,rest,brick,refurbished,5.64515689527836
Yes,2,No,other,2.5404886497767,Yes,ruzinov,other,brick,refurbished,5.22788670461367
Yes,1,No,other,2.37112673569579,No,vrakuna,other,brick,refurbished,4.92941892571429
Yes,3,Yes,other,2.59742013477924,Yes,petrzalka,other,panel,partial_refurbishment,5.11727129565576
Yes,2,No,other,2.48164384502275,Yes,petrzalka,other,panel,partial_refurbishment,5.05307844348342
Yes,3,No,other,2.64753302664155,Yes,stare_mesto,other,brick,refurbished,5.52478544932122
No,3,Yes,other,2.69784009124261,Yes,nove_mesto,other,brick,refurbished,5.38916608436453
Yes,3,No,other,2.56086405021975,Yes,karlova_ves,other,panel,old,5.10037054511756
No,3,Yes,other,2.58430553381761,No,ruzinov,bottom,brick,refurbished,5.13033376849501
Yes,3,No,other,2.6331509142369,No,podunajske_biskupice,other,brick,partial_refurbishment,5.06069784035361
Yes,3,Yes,other,2.62179254782945,Yes,nove_mesto,other,brick,refurbished,5.32221722666003
Yes,3,No,other,2.48812516602843,Yes,ruzinov,top,panel,refurbished,5.14612803567824
Yes,1,Yes,other,2.36140225854616,Yes,dubravka,other,panel,partial_refurbishment,4.89762709129044
No,2,No,other,2.3985544514435,No,nove_mesto,other,brick,partial_refurbishment,5.04921802267018
Yes,2,Yes,other,2.47500946563237,Yes,nove_mesto,bottom,panel,partial_refurbishment,5.07736790528416
Yes,3,No,other,2.81664330808764,No,karlova_ves,bottom,brick,refurbished,5.14550717140966
Yes,3,Yes,other,2.57978224404418,Yes,petrzalka,top,panel,refurbished,5.11727129565576
No,2,No,other,2.37112673569579,No,ruzinov,other,panel,partial_refurbishment,4.88649072517248
Yes,3,No,other,2.64044614796885,Yes,karlova_ves,other,panel,partial_refurbishment,5.14457420760962
Yes,1,Yes,other,2.36140225854616,Yes,dubravka,other,panel,partial_refurbishment,4.90633504180509
Yes,3,Yes,other,2.56572273107389,Yes,ruzinov,top,panel,partial_refurbishment,5.14609701353587
Yes,3,Yes,other,2.59742013477924,Yes,karlova_ves,other,panel,partial_refurbishment,5.15533603746506
Yes,2,No,other,2.43929501765442,Yes,ruzinov,other,panel,refurbished,4.90308998699194
Yes,2,No,other,2.48812516602843,Yes,petrzalka,other,other,refurbished,5.16106838547117
Yes,2,Yes,other,2.48164384502275,Yes,vrakuna,other,panel,partial_refurbishment,4.8750612633917
No,2,No,other,2.48164384502275,Yes,ruzinov,other,brick,refurbished,5.14581771449183
No,2,Yes,other,2.50671120742167,No,raca,other,brick,old,5.05115252244738
Yes,3,No,other,2.68917513820238,Yes,stare_mesto,other,brick,refurbished,5.38916608436453
No,1,No,other,2.4071656661104,Yes,ruzinov,top,panel,refurbished,5.02938377768521
Yes,3,No,other,2.59742013477924,Yes,petrzalka,other,panel,refurbished,5.11727129565576
Yes,2,Yes,other,2.46125468645054,Yes,petrzalka,other,brick,refurbished,5.13033376849501
Yes,1.5,No,other,2.46821542137881,Yes,podunajske_biskupice,other,panel,old,4.92890769024395
No,3,No,other,2.68321803960761,Yes,stare_mesto,bottom,brick,old,5.41329976408125
No,3,No,other,2.51844157614637,No,vrakuna,top,brick,refurbished,4.96843624771171
No,1.5,No,other,2.37112673569579,No,vrakuna,other,panel,refurbished,4.68124123737559
Yes,4,No,other,2.5931221847288,Yes,devinska_nova_ves,other,panel,partial_refurbishment,5.13672056715641
Yes,3,Yes,other,2.54573010759662,Yes,petrzalka,bottom,panel,refurbished,5.12385164096709
No,2,No,other,2.56572273107389,Yes,nove_mesto,other,brick,refurbished,5.17606230512508
Yes,3,Yes,other,2.58875139904474,Yes,karlova_ves,other,panel,partial_refurbishment,5.15533603746506
Yes,2,No,other,2.52412349687282,Yes,ruzinov,other,panel,refurbished,5.15685190107001
No,1,Yes,other,2.37112673569579,Yes,ruzinov,top,brick,refurbished,5.04139268515823
Yes,2,Yes,other,2.41553369643773,Yes,podunajske_biskupice,top,brick,refurbished,5.06818586174616
Yes,3,Yes,other,2.60580603149132,No,podunajske_biskupice,bottom,brick,old,5.07918124604763
No,1,No,other,2.29560564220352,No,ruzinov,bottom,brick,refurbished,4.86332286012046
Yes,1.5,Yes,other,2.42367058973074,Yes,petrzalka,other,panel,partial_refurbishment,5.02118929906994
Yes,3,No,other,2.54573010759662,Yes,petrzalka,bottom,panel,refurbished,5.13033376849501
Yes,3,No,other,2.55087091129225,Yes,vrakuna,other,panel,old,4.98181860717066
Yes,3,No,other,2.55087091129225,Yes,nove_mesto,other,brick,refurbished,5.29745409961907
No,4,Yes,other,2.60989800921489,Yes,podunajske_biskupice,other,panel,refurbished,5.08635983067475
No,3,No,other,2.512639036679,No,stare_mesto,other,brick,refurbished,4.9912260756925
No,3,No,other,2.7116099244797,No,stare_mesto,top,brick,refurbished,5.44090908206522
Yes,3,Yes,other,2.66112272612234,Yes,stare_mesto,other,brick,refurbished,5.48995847942484
Yes,1,No,other,2.512639036679,Yes,devinska_nova_ves,bottom,brick,refurbished,4.92694921153171
Yes,1.5,Yes,other,2.47500946563237,Yes,petrzalka,other,panel,partial_refurbishment,5.04921802267018
Yes,2,No,other,2.43158755086612,Yes,ruzinov,other,brick,refurbished,5.11058971029925
No,2,Yes,other,2.46125468645054,Yes,podunajske_biskupice,other,panel,refurbished,4.94200805302231
No,1,Yes,other,2.34097566980137,Yes,petrzalka,other,panel,partial_refurbishment,4.91169015875386
Yes,2,No,other,2.46125468645054,Yes,nove_mesto,other,brick,refurbished,5.19898680567093
No,3,No,other,2.78234593337135,No,stare_mesto,top,brick,refurbished,5.50514997831991
Yes,3,Yes,other,2.54573010759662,Yes,petrzalka,top,panel,refurbished,5.08635983067475
Yes,3,Yes,other,2.70065932218732,No,stare_mesto,other,brick,partial_refurbishment,5.42488163663107
No,4,No,other,2.63682525855683,Yes,podunajske_biskupice,other,panel,refurbished,5.08635983067475
Yes,3,No,other,2.55591447549606,Yes,petrzalka,top,panel,refurbished,5.08635983067475
Yes,3,No,other,2.57049346871562,Yes,petrzalka,other,panel,refurbished,5.13987908640124
Yes,3,No,other,2.54573010759662,Yes,petrzalka,other,panel,refurbished,5.12385164096709
Yes,3,Yes,other,2.67399504332347,Yes,stare_mesto,other,other,refurbished,5.5910646070265
Yes,1,No,other,2.33023317850707,Yes,nove_mesto,other,brick,refurbished,5.01000297412706
Yes,3,Yes,other,2.56572273107389,Yes,podunajske_biskupice,other,panel,partial_refurbishment,4.9912260756925
No,4,No,other,2.70344523162321,Yes,nove_mesto,bottom,base,refurbished,5.51228406328185
Yes,3,Yes,other,2.5931221847288,Yes,karlova_ves,other,panel,refurbished,5.19033169817029
No,1,Yes,other,2.33023317850707,Yes,petrzalka,other,panel,old,4.88592633980143
No,3,No,other,2.6440149612966,Yes,stare_mesto,other,brick,refurbished,5.48981790830145
Yes,2,Yes,other,2.54573010759662,No,stare_mesto,other,brick,refurbished,5.3115419584012
Yes,1.5,No,other,2.46821542137881,Yes,podunajske_biskupice,other,panel,old,4.90254677931399
No,2,No,other,2.5404886497767,Yes,stare_mesto,other,brick,refurbished,5.22219604630172
Yes,3,Yes,other,2.54573010759662,Yes,petrzalka,other,panel,refurbished,5.08635983067475
Yes,3,No,other,2.56572273107389,Yes,petrzalka,top,panel,partial_refurbishment,5.08635983067475
No,2,No,other,2.49445964791184,Yes,ruzinov,top,brick,refurbished,5.0899051114394
Yes,1.5,No,other,2.37112673569579,Yes,ruzinov,other,other,refurbished,4.89209460269048
Yes,2,No,other,2.41553369643773,Yes,podunajske_biskupice,top,brick,refurbished,5.06069784035361
Yes,2,Yes,other,2.52968922278751,Yes,petrzalka,bottom,brick,refurbished,5.20411998265593
No,1,No,other,2.25676454173614,No,ruzinov,top,brick,refurbished,4.88930170250631
Yes,4,No,other,2.60989800921489,Yes,vrakuna,other,panel,refurbished,5.12385164096709
No,2,Yes,other,2.50065315185266,Yes,petrzalka,other,panel,partial_refurbishment,5.04921802267018
Yes,2,Yes,other,2.50065315185266,Yes,nove_mesto,other,panel,partial_refurbishment,5.07736790528416
Yes,3,Yes,other,2.56572273107389,Yes,petrzalka,other,panel,refurbished,5.12254352406875
No,2,Yes,other,2.3191078731583,Yes,podunajske_biskupice,other,panel,refurbished,4.94939000664491
Yes,3,Yes,other,2.56086405021975,Yes,petrzalka,top,panel,refurbished,5.08635983067475
Yes,3,No,other,2.62179254782945,Yes,vrakuna,other,panel,refurbished,5.07554696139253
Yes,1,No,other,2.3191078731583,No,dubravka,bottom,panel,partial_refurbishment,4.90036712865647
No,1,No,other,2.35135834444068,Yes,dubravka,other,panel,partial_refurbishment,4.86326336365048
Yes,4,No,other,2.67084050168301,Yes,petrzalka,bottom,base,refurbished,5.301008280397
No,3,Yes,other,2.65779530462365,No,vrakuna,other,brick,refurbished,5.12385164096709
Yes,2,No,other,2.50671120742167,No,nove_mesto,other,brick,refurbished,5.17464119266045
No,1.5,Yes,other,2.27023601659818,Yes,ruzinov,other,other,refurbished,4.85491302230786
Yes,3,No,other,2.58875139904474,Yes,nove_mesto,bottom,panel,refurbished,5.20112389720738
Yes,2,No,other,2.52412349687282,Yes,ruzinov,top,panel,refurbished,5.07151380509509
Yes,4,No,other,2.8063922671758,No,raca,rest,brick,refurbished,5.38551690339903
No,4,Yes,other,2.90905884320005,No,podunajske_biskupice,rest,brick,refurbished,5.41497334797082
Yes,1.5,No,other,2.33023317850707,Yes,vrakuna,other,panel,partial_refurbishment,4.61804809671209
Yes,3,Yes,other,2.57049346871562,Yes,petrzalka,other,panel,refurbished,5.13033376849501
No,1,Yes,other,2.35135834444068,Yes,stare_mesto,other,panel,partial_refurbishment,5.02530586526477
Yes,3,Yes,other,2.57049346871562,Yes,dubravka,other,panel,refurbished,5.12710479836481
Yes,2,Yes,other,2.52412349687282,Yes,dubravka,other,brick,refurbished,5.06069784035361
Yes,3,No,other,2.73692179804416,Yes,ruzinov,other,brick,refurbished,5.35218251811136
No,2,Yes,other,2.47500946563237,Yes,dubravka,top,panel,refurbished,5.05307844348342
No,3,No,other,2.58430553381761,Yes,stare_mesto,top,brick,refurbished,5.51851393987789
No,3,Yes,other,2.5404886497767,Yes,ruzinov,other,other,partial_refurbishment,5.17782497186468
Yes,1,No,other,2.46821542137881,Yes,petrzalka,other,brick,refurbished,5.01283722470517
Yes,2,No,other,2.60989800921489,Yes,ruzinov,other,brick,refurbished,5.19033169817029
Yes,4,Yes,other,2.72206983025241,Yes,stare_mesto,other,brick,partial_refurbishment,5.37930551775058
Yes,3,No,other,2.57049346871562,Yes,podunajske_biskupice,other,panel,partial_refurbishment,5.02118929906994
Yes,3,Yes,other,2.72461269359245,Yes,nove_mesto,other,brick,refurbished,5.53781909507327
No,1,Yes,other,2.22804102706126,Yes,dubravka,other,panel,partial_refurbishment,4.88648508494778
Yes,1,No,other,2.3191078731583,No,dubravka,bottom,panel,old,4.90036712865647
Yes,3,No,other,2.51844157614637,Yes,podunajske_biskupice,other,brick,refurbished,5.0899051114394
No,4,Yes,other,2.75310885838021,Yes,stare_mesto,other,brick,refurbished,5.4983105537896
Yes,3,Yes,other,2.56086405021975,Yes,podunajske_biskupice,bottom,panel,partial_refurbishment,5.01703333929878
Yes,3,Yes,other,2.60580603149132,Yes,petrzalka,other,panel,old,5.07554696139253
No,3,Yes,other,2.54573010759662,Yes,karlova_ves,other,panel,refurbished,5.10380372095596
Yes,3,Yes,other,2.56572273107389,Yes,petrzalka,other,brick,partial_refurbishment,5.12057393120585
No,1,No,other,2.33023317850707,Yes,petrzalka,other,panel,refurbished,4.94448267215017
No,2,No,other,2.43929501765442,No,stare_mesto,top,brick,refurbished,5.17609125905568
Yes,4,Yes,other,2.65100162379407,Yes,petrzalka,other,panel,refurbished,5.19562294358694
Yes,1,No,other,2.37112673569579,Yes,nove_mesto,rest,brick,refurbished,4.9106244048892
Yes,3,No,other,2.54573010759662,Yes,petrzalka,other,panel,refurbished,5.11394335230684
No,3,No,other,2.54573010759662,Yes,karlova_ves,top,panel,refurbished,5.16136800223498
Yes,3,Yes,other,2.54573010759662,Yes,vrakuna,bottom,panel,partial_refurbishment,5.10037054511756
No,3,No,other,2.512639036679,No,stare_mesto,other,panel,refurbished,4.96801571399364
No,1,No,other,2.27023601659818,Yes,ruzinov,other,panel,refurbished,4.84503599351342
No,2,No,other,2.38054954862841,No,dubravka,other,panel,partial_refurbishment,5.07188200730613
Yes,4,Yes,other,2.63682525855683,Yes,podunajske_biskupice,other,panel,partial_refurbishment,5.11394335230684
Yes,2,No,other,2.55591447549606,Yes,stare_mesto,other,brick,refurbished,5.26481782300954
Yes,3,No,other,2.56572273107389,No,podunajske_biskupice,top,brick,refurbished,5.04135320204698
No,2,Yes,other,2.34097566980137,Yes,ruzinov,bottom,brick,refurbished,5.04135320204698
No,1,Yes,other,2.50671120742167,Yes,stare_mesto,bottom,brick,refurbished,5.17606230512508
Yes,2,Yes,other,2.3075745743855,No,ruzinov,other,brick,refurbished,5.01157044359728
Yes,1,No,other,2.4071656661104,No,vrakuna,rest,brick,refurbished,4.99956548822598
Yes,3,Yes,other,2.51844157614637,No,dubravka,other,panel,refurbished,5.14581771449183
No,1.5,No,other,2.37112673569579,Yes,vrakuna,other,panel,partial_refurbishment,4.57978359661681
Yes,3,Yes,other,2.56086405021975,Yes,podunajske_biskupice,other,panel,partial_refurbishment,5.01703333929878
No,3,Yes,other,2.5931221847288,No,ruzinov,bottom,brick,refurbished,5.13033376849501
No,2,Yes,other,2.47500946563237,Yes,petrzalka,rest,panel,partial_refurbishment,5.07918124604763
Yes,3,No,other,2.61392522288417,Yes,karlova_ves,other,brick,refurbished,5.27415784926368
No,3,No,other,2.75086616014675,No,stare_mesto,bottom,brick,partial_refurbishment,5.51838231554534
Yes,3,Yes,other,2.65442198650446,Yes,stare_mesto,other,brick,refurbished,5.48713837547719
No,1.5,Yes,other,2.35135834444068,Yes,petrzalka,bottom,panel,partial_refurbishment,4.93751789201735
Yes,4,Yes,other,2.77639793030555,Yes,nove_mesto,top,brick,refurbished,5.39776625612645
Yes,2,No,other,2.49445964791184,Yes,ruzinov,top,panel,refurbished,5.10720996964787
No,1.5,No,other,2.35135834444068,Yes,petrzalka,bottom,panel,partial_refurbishment,4.93851972517649
No,2,No,other,2.50671120742167,No,nove_mesto,other,brick,refurbished,5.16136800223498
No,3,No,other,2.56086405021975,Yes,petrzalka,other,brick,refurbished,5.13672056715641
No,3,No,other,2.57049346871562,No,podunajske_biskupice,top,panel,old,4.97772360528885
No,3,Yes,other,2.52968922278751,No,ruzinov,top,brick,refurbished,5.19284611518884
Yes,1,No,other,2.27023601659818,No,dubravka,top,panel,old,4.86332286012046
No,2,No,other,2.47500946563237,Yes,dubravka,top,panel,refurbished,5.05307844348342
Yes,2,Yes,other,2.46821542137881,Yes,ruzinov,rest,panel,refurbished,5.09691001300806
No,1,Yes,other,2.38968707798256,Yes,ruzinov,other,panel,partial_refurbishment,4.97173959088778
No,2,No,other,2.43929501765442,Yes,podunajske_biskupice,other,panel,partial_refurbishment,4.91907809237607
Yes,3,No,other,2.58430553381761,Yes,raca,bottom,panel,refurbished,5.13353890837022
Yes,3,Yes,other,2.6440149612966,Yes,stare_mesto,other,other,refurbished,5.5854607295085
Yes,3,No,other,2.65100162379407,Yes,nove_mesto,other,brick,refurbished,5.25527250510331
Yes,3,Yes,other,2.54573010759662,Yes,vrakuna,other,panel,refurbished,5.07918124604763
Yes,1.5,No,other,2.33023317850707,Yes,petrzalka,other,panel,refurbished,5.03742649794062
Yes,2,Yes,other,2.43929501765442,Yes,podunajske_biskupice,top,brick,refurbished,4.97772360528885
Yes,3,No,other,2.57517907759246,Yes,petrzalka,bottom,panel,refurbished,5.13033376849501
Yes,3,Yes,other,2.56572273107389,No,podunajske_biskupice,other,panel,old,4.99299509843134
Yes,3,No,other,2.65442198650446,Yes,stare_mesto,other,brick,old,5.27875360095283
Yes,3,Yes,other,2.54573010759662,Yes,ruzinov,other,panel,partial_refurbishment,5.12710479836481
No,4,No,other,2.62942168290196,No,nove_mesto,rest,brick,refurbished,5.19862959909202
Yes,4,No,other,2.74166576536982,Yes,nove_mesto,other,brick,refurbished,5.56291114504765
Yes,2,Yes,other,2.5404886497767,Yes,ruzinov,bottom,panel,old,5.07003786660776
Yes,3,Yes,other,2.62179254782945,Yes,ruzinov,other,brick,refurbished,5.20139712432045
Yes,2,Yes,other,2.52412349687282,Yes,karlova_ves,other,brick,refurbished,5.17318626841227
Yes,1.5,Yes,other,2.34097566980137,Yes,petrzalka,bottom,panel,refurbished,5.02118929906994
Yes,2,No,other,2.43158755086612,Yes,ruzinov,other,panel,refurbished,5.11058971029925
Yes,3,Yes,other,2.56086405021975,Yes,petrzalka,other,panel,partial_refurbishment,5.12710479836481
Yes,1.5,No,other,2.37112673569579,Yes,ruzinov,other,panel,refurbished,4.89209460269048
Yes,3,Yes,other,2.53514294751103,Yes,karlova_ves,other,panel,old,5.12057393120585
Yes,1.5,No,other,2.36140225854616,No,ruzinov,other,panel,refurbished,4.90308998699194
Yes,3,Yes,other,2.6331509142369,Yes,ruzinov,top,panel,partial_refurbishment,5.24303804868629
Yes,3,Yes,other,2.65100162379407,Yes,karlova_ves,other,panel,refurbished,5.22530928172586
No,2,No,other,2.61392522288417,No,stare_mesto,other,brick,refurbished,5.35945602012099
Yes,2,Yes,other,2.41553369643773,Yes,ruzinov,other,panel,refurbished,5.03302144468291
Yes,3,No,other,2.65100162379407,Yes,ruzinov,other,panel,partial_refurbishment,5.26717172840301
Yes,3,Yes,other,2.58430553381761,Yes,devinska_nova_ves,rest,panel,refurbished,5.16136800223498
Yes,2,Yes,other,2.41553369643773,Yes,ruzinov,other,panel,refurbished,5.03302144468291
No,1,Yes,other,2.34097566980137,Yes,dubravka,other,panel,partial_refurbishment,4.92941892571429
Yes,3,No,other,2.53514294751103,Yes,karlova_ves,other,panel,old,5.11394335230684
Yes,2,Yes,other,2.3985544514435,Yes,ruzinov,other,panel,refurbished,5.07554696139253
Yes,2,Yes,other,2.58430553381761,Yes,lamac,other,panel,partial_refurbishment,5.03742649794062
Yes,2,No,other,2.58875139904474,Yes,ruzinov,other,other,refurbished,5.21745762253858
Yes,3,Yes,other,2.56086405021975,Yes,petrzalka,other,panel,partial_refurbishment,5.12710479836481
No,2,Yes,other,2.6331509142369,No,nove_mesto,other,brick,refurbished,5.16136800223498
Yes,4,Yes,other,2.58430553381761,Yes,stare_mesto,other,panel,refurbished,5.32014628611105
Yes,2,Yes,other,2.56572273107389,Yes,nove_mesto,other,brick,refurbished,5.30642502755069
Yes,2,No,other,2.55591447549606,Yes,devinska_nova_ves,other,brick,refurbished,5.10720996964787
Yes,2,Yes,other,2.55591447549606,Yes,devinska_nova_ves,other,other,refurbished,5.10037054511756
Yes,3,Yes,other,2.58430553381761,Yes,devinska_nova_ves,other,panel,refurbished,5.13672056715641
Yes,2,Yes,other,2.52968922278751,Yes,devinska_nova_ves,other,brick,refurbished,5.10720657670897
Yes,2,Yes,other,2.52968922278751,Yes,devinska_nova_ves,other,panel,refurbished,5.10720996964787
Yes,4,Yes,other,2.79745745085042,Yes,nove_mesto,top,other,being_constructed,5.79097371725859
Yes,4,No,other,2.60989800921489,No,vrakuna,other,panel,refurbished,5.11360915107303
Yes,3,Yes,other,2.5404886497767,Yes,petrzalka,other,panel,old,5.10380372095596
No,2,No,other,2.5404886497767,No,nove_mesto,top,brick,refurbished,5.15228834438306
No,2,No,other,2.5404886497767,No,nove_mesto,top,brick,refurbished,5.15228834438306
Yes,3,No,other,2.61392522288417,No,nove_mesto,other,brick,partial_refurbishment,5.14609701353587
Yes,2,No,other,2.52412349687282,Yes,devinska_nova_ves,other,brick,refurbished,5.10037054511756
Yes,3,No,other,2.57049346871562,Yes,petrzalka,other,panel,refurbished,5.13672056715641
Yes,2,Yes,other,2.49445964791184,Yes,lamac,other,other,refurbished,5.13987908640124
Yes,3,Yes,other,2.68018289432303,Yes,stare_mesto,top,brick,refurbished,5.26363606858811
Yes,3,Yes,other,2.57517907759246,Yes,petrzalka,top,panel,partial_refurbishment,5.09307130637606
Yes,4,No,other,2.77639793030555,No,stare_mesto,bottom,brick,refurbished,5.50379068305718
No,2,No,other,2.50065315185266,Yes,nove_mesto,rest,brick,partial_refurbishment,5.19589965240923
Yes,3,No,other,2.55591447549606,Yes,petrzalka,other,panel,old,5.04921802267018
Yes,4,Yes,other,2.60989800921489,Yes,dubravka,top,panel,partial_refurbishment,5.13033376849501
Yes,3,No,other,2.53514294751103,Yes,karlova_ves,top,panel,refurbished,5.08635983067475
Yes,3,No,other,2.64044614796885,Yes,karlova_ves,other,panel,partial_refurbishment,5.14457420760962
Yes,2,Yes,other,2.47500946563237,Yes,ruzinov,top,panel,refurbished,5.07554696139253
Yes,3,No,other,2.57049346871562,Yes,petrzalka,top,panel,partial_refurbishment,5.13033376849501
Yes,4,Yes,other,2.80107608595834,Yes,stare_mesto,top,brick,refurbished,5.60097289568675
No,3,No,other,2.54573010759662,Yes,vrakuna,bottom,brick,refurbished,5.06069784035361
Yes,2,No,other,2.58875139904474,Yes,nove_mesto,other,brick,refurbished,5.19728055812562
No,2,Yes,other,2.512639036679,No,raca,other,brick,refurbished,5.13672056715641
No,2,Yes,other,2.53514294751103,No,ruzinov,rest,brick,partial_refurbishment,5.14612803567824
No,2,No,other,2.49445964791184,Yes,lamac,other,panel,refurbished,5.02938377768521
Yes,2,Yes,other,2.4071656661104,Yes,podunajske_biskupice,other,brick,refurbished,5.02489596010749
Yes,3,Yes,other,2.62179254782945,Yes,ruzinov,bottom,other,partial_refurbishment,5.25042000230889
No,1.5,No,other,2.35135834444068,Yes,petrzalka,bottom,panel,partial_refurbishment,4.93951925261862
Yes,3,No,other,2.54573010759662,Yes,petrzalka,top,panel,refurbished,5.11394335230684
Yes,3,No,other,2.56086405021975,Yes,podunajske_biskupice,other,brick,refurbished,5.13033376849501
Yes,3,Yes,other,2.54573010759662,Yes,petrzalka,other,panel,refurbished,5.16136800223498
Yes,3,Yes,other,2.5931221847288,Yes,ruzinov,bottom,panel,partial_refurbishment,5.13033055148693
No,2,Yes,other,2.47500946563237,Yes,podunajske_biskupice,top,panel,refurbished,5.02325245963371
No,4,Yes,other,2.81328089404134,No,nove_mesto,top,brick,refurbished,5.74741180788642
No,3,No,other,2.55591447549606,No,podunajske_biskupice,other,brick,refurbished,5.09691001300806
Yes,3,No,other,2.5931221847288,Yes,petrzalka,bottom,panel,refurbished,5.13033376849501
