balcony,no_of_bedrooms,basement,street,size,elevator,district,floor,material,status,price
Yes,3,No,other,2.68917513820238,Yes,stare_mesto,other,brick,refurbished,5.43933269383026
Yes,3,No,other,2.68321803960761,No,ruzinov,top,brick,refurbished,5.41995574848976
Yes,2,Yes,other,2.49445964791184,No,nove_mesto,bottom,panel,partial_refurbishment,5.07003786660776
Yes,4,Yes,other,2.78813654359443,Yes,nove_mesto,bottom,brick,refurbished,5.55630250076729
Yes,4,Yes,other,2.71426933969425,Yes,ruzinov,top,base,refurbished,5.40993312333129
Yes,3,Yes,other,2.58875139904474,Yes,devinska_nova_ves,other,panel,partial_refurbishment,5.11058971029925
No,4,Yes,other,2.77437894712242,Yes,zahorska_bistrica,top,brick,refurbished,5.49122157623928
No,1,Yes,other,2.37112673569579,No,vrakuna,bottom,brick,refurbished,4.97772360528885
Yes,2,No,other,2.50671120742167,No,raca,other,brick,refurbished,5.12057393120585
Yes,3,No,other,2.58875139904474,Yes,petrzalka,other,panel,partial_refurbishment,5.09691001300806
Yes,3,Yes,other,2.58875139904474,Yes,petrzalka,other,panel,partial_refurbishment,5.08635983067475
No,2,No,other,2.43158755086612,No,vajnory,top,brick,refurbished,4.99913054128737
Yes,2,Yes,other,2.51844157614637,No,raca,other,brick,refurbished,5.12613140726198
No,3,No,other,2.81157950683549,Yes,stare_mesto,top,brick,refurbished,5.54282542695918
No,3,Yes,other,2.57049346871562,No,stare_mesto,bottom,brick,refurbished,5.2380461031288
Yes,4,Yes,other,2.51844157614637,Yes,petrzalka,other,brick,refurbished,5.08277316682898
No,1,Yes,other,2.35135834444068,Yes,stare_mesto,other,panel,partial_refurbishment,5.02118929906994
Yes,2,No,other,2.56572273107389,Yes,stare_mesto,other,brick,refurbished,5.36698297597785
Yes,1.5,Yes,other,2.47500946563237,Yes,petrzalka,other,panel,partial_refurbishment,4.99956548822598
Yes,1,Yes,other,2.34097566980137,Yes,dubravka,other,panel,refurbished,5
Yes,2,No,other,2.48164384502275,Yes,stare_mesto,bottom,brick,refurbished,5.26030708387787
Yes,3,Yes,other,2.61788948807064,Yes,ruzinov,other,brick,refurbished,5.28735377271475
Yes,3,Yes,other,2.68018289432303,Yes,ruzinov,other,brick,refurbished,5.33405144034689
Yes,4,Yes,other,2.85327145627312,Yes,ruzinov,top,brick,refurbished,5.51587384371168
Yes,2,Yes,other,2.4071656661104,Yes,ruzinov,bottom,panel,refurbished,5.03302144468291
Yes,3,Yes,other,2.60989800921489,Yes,petrzalka,top,panel,partial_refurbishment,5.08635983067475
No,2,No,other,2.56086405021975,Yes,ruzinov,rest,panel,old,5.07554696139253
No,2,No,other,2.35135834444068,Yes,stare_mesto,other,brick,refurbished,5.10720996964787
Yes,3,No,other,2.74400114569451,Yes,nove_mesto,other,brick,refurbished,5.57978359661681
Yes,3,No,other,2.56086405021975,Yes,petrzalka,other,panel,refurbished,5.11727129565576
No,2,No,other,2.68321803960761,No,stare_mesto,top,brick,refurbished,5.42324587393681
No,3,Yes,other,2.57049346871562,No,stare_mesto,bottom,brick,partial_refurbishment,5.20411998265593
Yes,3,Yes,other,2.67710886312593,Yes,podunajske_biskupice,other,brick,refurbished,4.99956548822598
No,2,Yes,other,2.47500946563237,Yes,petrzalka,other,panel,refurbished,5.00860017176192
Yes,3,Yes,other,2.67710886312593,Yes,podunajske_biskupice,other,brick,refurbished,4.99956548822598
Yes,3,Yes,other,2.56086405021975,Yes,petrzalka,rest,panel,old,5.04139268515823
No,3,Yes,other,2.64753302664155,Yes,stare_mesto,other,base,refurbished,5.49319167639674
Yes,3,Yes,other,2.7089198640855,Yes,nove_mesto,bottom,brick,refurbished,5.53781909507327
Yes,1,No,other,2.28317065206913,Yes,raca,other,brick,refurbished,4.91008520368567
Yes,1,No,other,2.33023317850707,Yes,raca,other,brick,refurbished,4.95664378034464
No,3,Yes,other,2.64753302664155,Yes,stare_mesto,other,base,refurbished,5.47208621229207
No,3,Yes,other,2.64753302664155,No,stare_mesto,other,base,refurbished,5.47051192232328
Yes,3,Yes,other,2.60164739763241,Yes,lamac,bottom,panel,partial_refurbishment,5.09691001300806
Yes,2,No,other,2.50671120742167,Yes,petrzalka,other,brick,refurbished,5.18184358794477
No,1,Yes,other,2.38054954862841,Yes,dubravka,bottom,panel,refurbished,4.92941892571429
Yes,1,Yes,other,2.25676454173614,Yes,nove_mesto,rest,other,refurbished,4.94448267215017
Yes,2,Yes,other,2.41553369643773,Yes,nove_mesto,rest,other,refurbished,5.08421868673924
Yes,4,Yes,other,2.70344523162321,Yes,nove_mesto,rest,other,refurbished,5.47892705558293
Yes,3,Yes,other,2.55087091129225,Yes,petrzalka,bottom,panel,partial_refurbishment,5.13033376849501
No,3,No,other,2.52968922278751,No,ruzinov,top,brick,refurbished,5.19284611518884
No,3,No,other,2.52968922278751,No,ruzinov,top,brick,refurbished,5.19284611518884
Yes,3,Yes,other,2.57978224404418,Yes,petrzalka,other,panel,refurbished,5.13033376849501
Yes,3,No,other,2.58875139904474,Yes,petrzalka,other,panel,partial_refurbishment,5.1430148002541
No,3,No,other,2.57978224404418,Yes,ruzinov,rest,panel,refurbished,5.11394335230684
No,3,No,other,2.51844157614637,No,ruzinov,rest,brick,refurbished,5.12385164096709
No,3,No,other,2.57978224404418,Yes,podunajske_biskupice,other,panel,old,4.99343623049761
Yes,3,No,other,2.7900330495815,No,raca,top,brick,refurbished,5.47639682672533
Yes,1,Yes,other,2.37112673569579,Yes,ruzinov,bottom,panel,refurbished,5.09691001300806
Yes,4,Yes,other,2.69784009124261,No,ruzinov,other,brick,refurbished,5.43775056282039
Yes,4,No,other,2.87449748702918,No,ruzinov,top,brick,refurbished,5.48429983934679
Yes,3,Yes,other,2.58875139904474,Yes,vrakuna,bottom,brick,refurbished,5.1078880251828
Yes,3,Yes,other,2.62942168290196,Yes,petrzalka,top,panel,refurbished,5.13033376849501
Yes,4,Yes,other,2.64044614796885,Yes,petrzalka,bottom,panel,partial_refurbishment,5.17026171539496
Yes,3,Yes,other,2.56086405021975,Yes,petrzalka,other,panel,refurbished,5.15228834438306
Yes,2,Yes,other,2.6440149612966,Yes,karlova_ves,other,brick,refurbished,5.19312459835446
Yes,2,Yes,other,2.55591447549606,Yes,dubravka,top,panel,refurbished,5.0899051114394
Yes,2,Yes,other,2.512639036679,Yes,nove_mesto,bottom,brick,old,5.09691001300806
Yes,4,Yes,other,2.78038112975188,Yes,nove_mesto,other,brick,refurbished,5.51587384371168
