id,price,area,listed,price_per_sqm,street,no_of_bedrooms,url_saved,district
6502452,123e3,54,5.6.2018,2277,Kalinčiaková,2,https://www.topreality.sk/2-izbovy-byt-kalinciakova-r6502452.html,Bratislava II
6502328,295e3,124,5.6.2018,2379,Páričkova,4,https://www.topreality.sk/4-izbovy-mezonetovy-byt-na-predaj-novostavba-2x-terasa-ruzinov-nivy-www-bestreality-sk-r6502328.html,Bratislava II
6501012,65e4,146,4.6.2018,4452,neuvedená,3,https://www.topreality.sk/bella-real-estate-ponuka-na-predaj-3-izb-byt-s-terasou-v-novej-vile-na-slavine-r6501012.html,Bratislava I
6500619,159e3,61,4.6.2018,2650,Tomášikova,2,https://www.topreality.sk/rezervovane-novostavba-koloseo-krasne-zariadeny-2i-byt-loggia-garazove-statie-pivnica-r6500619.html,Bratislava III
6500584,143e3,68,4.6.2018,2102,Homolova,3,https://www.topreality.sk/rezervovany-predaj-3-izb-bytu-v-dubravke-na-homolovej-ul-r6500584.html,Bratislava IV
6499841,123e3,47,4.6.2018,2617,Hrachova,3,https://www.topreality.sk/vase-komfortne-byvanie-v-ruzinove-s-vlastnim-parkovanim-r6499841.html,Bratislava II
6499655,125e3,62,4.6.2018,2049,Silvánska,3,https://www.topreality.sk/3-izbovy-byt-ba-karlova-ves-silvanska-r6499655.html,Bratislava IV
6486363,118900,34,4.6.2018,3497,Bosákova,2,https://www.topreality.sk/d-r-w-novostavba-loggia-moznost-parkovacieho-statia-vyborna-lokalita-r6486363.html,Bratislava V
5863789,94500,38,2.6.2018,2486,Kramáre-Na Revíne,1,https://www.topreality.sk/impereal-predaj-1-izb-byt-kramare-r5863789.html,Bratislava III
6498437,89999,39,2.6.2018,2307,Žltá,1,https://www.topreality.sk/novostavba-1-izbovy-byt-v-petrzalke-r6498437.html,Bratislava V
6497855,171e3,78,1.6.2018,2192,Na križovatkách,3,https://www.topreality.sk/ponukame-na-predaj-3-izbovy-byt-bratislava-trnavka-63-m2-s-parkovacim-statim-v-12-rocnej-tehlovej-stavbe-balkon-loggia-15-m2-pivnica-r6497855.html,Bratislava II
6497707,179e3,88,1.6.2018,2034,Zadunajská cesta,4,https://www.topreality.sk/na-predaj-4-izbovy-byt-s-loggiou-na-zaciatku-petrzalky-r6497707.html,Bratislava V
6497599,123e3,47,1.6.2018,2617,Hrachová,2,https://www.topreality.sk/2-5-izbovy-mezaninovy-byt-s-vlastnym-parkovacim-miestom-ruzinov-r6497599.html,Bratislava II
6497238,117e3,41,1.6.2018,2853,Ladislava Dérera,1,https://www.topreality.sk/1-izbovy-byt-po-kompletnej-rekonstrukcii-kompletne-zariadeny-r6497238.html,Bratislava III
6496821,134900,76,1.6.2018,1798,Račianska,2,https://www.topreality.sk/predaj-pekny-a-priestranny-2-izb-byt-tehla-60-2-m2-byt-15-4-m2-pivnica-po-starsej-kompletnej-rekonstrukcii-racianska-ul-ba-iii-nove-mesto-r6496821.html,Bratislava III
6495452,221900,92,31.5.2018,2411,Opavská,3,https://www.topreality.sk/3-izbovy-byt-na-predaj-novostavba-krb-klimatizacia-kramare-www-bestreality-sk-r6495452.html,Bratislava III
6495376,127999,61,31.5.2018,2098,Gabčíkova,3,https://www.topreality.sk/3-izbovy-byt-karlova-ves-r6495376.html,Bratislava IV
6494770,107e3,43,30.5.2018,2488,Šancová,1,https://www.topreality.sk/1-izbovy-byt-na-predaj-v-sirsom-centre-sancova-ul-www-bestreality-sk-r6494770.html,Bratislava III
6494693,127500,59,30.5.2018,2161,Kadnárova,3,https://www.topreality.sk/novinka-predaj-3-izboveho-bytu-v-raci-kadnarova-ul-r6494693.html,Bratislava III
6494683,245e3,90,30.5.2018,2722,Ružinov (Bratislava II),3,https://www.topreality.sk/na-predaj-exkluzivny-3-izbovy-byt-super-lokalita-ruzinov-bratislava-r6494683.html,Bratislava II
5604270,141800,75,30.5.2018,1890,Tilgnerova,3,https://www.topreality.sk/3i-slnecny-byt-v-karlovej-vsi-r5604270.html,Bratislava IV
5601307,137800,55,30.5.2018,2505,Kvetná,2,https://www.topreality.sk/2i-byt-na-kvetnej-ulici-v-bratislave-r5601307.html,Bratislava II
5598041,127800,55,30.5.2018,2323,Jégého,2,https://www.topreality.sk/2i-byt-v-novostavbe-jegeho-alej-r5598041.html,Bratislava II
5597996,141800,75,30.5.2018,1890,Tilgnerova,3,https://www.topreality.sk/3i-slnecny-byt-v-karlovej-vsi-r5597996.html,Bratislava IV
5594825,116e3,49,30.5.2018,2377,Ľudovíta Fullu,2,https://www.topreality.sk/2i-slnecny-byt-kompletne-zariadeny-dlhe-diely-r5594825.html,Bratislava IV
5594799,114300,46,30.5.2018,2484,Bartoškova,2,https://www.topreality.sk/1-5i-zrekonstruovany-byt-na-bartoskovej-ulici-r5594799.html,Bratislava III
5594796,182e3,75,30.5.2018,2426,Račianske mýto,3,https://www.topreality.sk/3i-slnecny-byt-na-racianskom-myte-r5594796.html,Bratislava III
